Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
APAC,AI,1993-04-07,115883.15,2924,3.8,176758.97,17.0,1.67,55.0,0.25,76.0,56.9,275501869.91
APAC,AI,1993-04-11,1659325.67,1062,3.5,45694.88,6.0,4.49,87.0,0.26,70.0,30.25,275501869.91
APAC,AI,1993-05-05,839125.41,3420,3.7,114775.18,23.0,1.18,13.0,0.06,56.0,49.63,275501869.91
APAC,AI,1993-05-06,1767960.18,792,4.7,98408.35,8.0,3.43,48.0,0.14,84.0,53.4,275501869.91
APAC,AI,1993-05-19,1917737.32,2356,1.3,42437.71,18.0,4.28,66.0,0.24,80.0,57.69,275501869.91
APAC,AI,1993-05-22,1606581.26,1604,3.7,47038.92,16.0,0.87,47.0,0.23,64.0,63.71,275501869.91
APAC,AI,1993-05-26,1934198.2,1321,4.7,20468.17,11.0,2.15,83.0,0.26,58.0,34.91,275501869.91
APAC,AI,1993-05-31,1121125.63,3147,3.9,130943.31,0.0,0.73,17.0,0.26,55.0,61.53,275501869.91
APAC,AI,1993-06-06,484005.05,4964,2.8,92733.15,15.0,2.35,28.0,0.15,78.0,42.52,275501869.91
APAC,AI,1993-06-10,855960.44,2954,2.2,35468.66,13.0,1.66,22.0,0.22,79.0,52.97,275501869.91
APAC,AI,1993-06-15,503866.16,4847,1.8,186412.69,19.0,0.18,76.0,0.23,77.0,67.73,275501869.91
APAC,AI,1993-06-27,1682570.1,2968,1.3,85184.39,0.0,1.27,43.0,0.3,83.0,47.03,275501869.91
APAC,AI,1993-06-30,1441862.0,642,2.8,143936.37,9.0,1.43,45.0,0.14,88.0,51.6,275501869.91
APAC,AI,1993-07-07,1592451.22,4132,4.7,141525.72,18.0,2.19,30.0,0.05,65.0,52.96,315553056.4
APAC,AI,1993-07-11,154172.99,2854,2.4,73518.38,4.0,4.91,41.0,0.14,65.0,65.35,315553056.4
APAC,AI,1993-07-29,1599820.28,1071,2.4,53443.68,2.0,4.57,77.0,0.21,63.0,66.77,315553056.4
APAC,AI,1993-08-03,1608850.78,3782,3.7,102493.08,2.0,1.08,48.0,0.06,84.0,52.51,315553056.4
APAC,AI,1993-08-05,1529468.62,4827,4.2,75408.96,21.0,0.31,55.0,0.16,87.0,46.61,315553056.4
APAC,AI,1993-08-15,1303666.35,2115,2.5,189472.13,3.0,3.55,41.0,0.19,57.0,37.85,315553056.4
APAC,AI,1993-08-21,1821274.59,2023,2.5,23997.11,2.0,2.38,80.0,0.25,68.0,58.35,315553056.4
APAC,AI,1993-08-30,1412377.25,2345,3.7,181141.67,19.0,4.64,53.0,0.1,85.0,52.86,315553056.4
APAC,AI,1993-09-04,1934604.87,190,3.2,173448.46,7.0,3.73,85.0,0.28,51.0,47.17,315553056.4
APAC,AI,1993-09-09,1621201.19,1313,3.1,48862.14,24.0,1.99,51.0,0.16,75.0,41.22,315553056.4
APAC,AI,1993-09-11,174615.65,3501,3.1,70040.52,0.0,1.93,53.0,0.22,66.0,33.52,315553056.4
APAC,AI,1993-09-26,1001754.86,1618,2.1,43405.12,25.0,2.84,63.0,0.17,72.0,66.73,315553056.4
APAC,AI,1993-09-30,1412413.03,2041,2.3,172952.28,5.0,1.62,62.0,0.09,81.0,62.12,315553056.4
APAC,AI,1993-10-15,1786379.92,3931,3.6,17011.47,12.0,2.33,51.0,0.17,63.0,37.02,319662335.65
APAC,AI,1993-10-17,1236731.12,4999,2.0,173901.32,24.0,2.98,60.0,0.17,78.0,65.0,319662335.65
APAC,AI,1993-11-06,833079.57,1425,4.0,169368.03,22.0,2.92,71.0,0.12,66.0,55.77,319662335.65
APAC,AI,1993-11-15,579711.52,4683,4.6,11690.79,16.0,3.96,66.0,0.11,65.0,38.52,319662335.65
APAC,AI,1993-11-19,998742.3,3970,2.5,111353.17,10.0,0.7,15.0,0.06,64.0,30.81,319662335.65
APAC,AI,1993-11-26,753703.58,3274,3.4,159229.59,5.0,4.21,73.0,0.19,60.0,68.51,319662335.65
APAC,AI,1993-11-27,1060069.06,2468,4.4,171703.3,8.0,4.03,39.0,0.1,56.0,40.46,319662335.65
APAC,AI,1993-11-29,1562535.08,3483,3.8,169340.98,12.0,4.59,14.0,0.27,88.0,45.52,319662335.65
APAC,AI,1993-11-30,308408.96,2133,3.1,156897.32,24.0,1.76,30.0,0.16,56.0,58.19,319662335.65
APAC,AI,1993-12-02,1836290.12,1794,4.5,63491.14,10.0,2.92,80.0,0.17,64.0,36.21,319662335.65
APAC,AI,1993-12-20,1833323.23,1425,4.0,25505.1,3.0,1.89,65.0,0.1,84.0,36.32,319662335.65
APAC,AI,1993-12-21,1147862.75,195,1.1,61889.16,25.0,2.04,76.0,0.19,80.0,48.08,319662335.65
APAC,AI,1993-12-29,1002083.98,3376,2.0,138829.3,20.0,2.82,51.0,0.1,82.0,48.83,319662335.65
APAC,AI,1994-01-07,761379.91,1846,3.2,55492.22,14.0,3.82,14.0,0.24,79.0,32.0,300633390.12
APAC,AI,1994-01-15,226256.29,111,3.4,15219.34,19.0,2.18,10.0,0.16,88.0,59.47,300633390.12
APAC,AI,1994-01-16,1165277.71,7200,2.7,226564.33000000002,20.5,2.975,48.5,0.225,75.0,42.519999999999996,601266780.24
APAC,AI,1994-02-20,1245082.24,3243,4.5,175549.05,19.0,3.52,50.0,0.3,88.0,40.68,300633390.12
APAC,AI,1994-02-22,1981359.27,1767,1.0,79177.81,5.0,1.45,53.0,0.17,54.0,57.4,300633390.12
APAC,AI,1994-02-26,1709302.46,404,4.6,29354.55,22.0,1.5,16.0,0.09,60.0,66.15,300633390.12
APAC,AI,1994-02-28,1762100.15,3600,3.7,194723.59,1.0,4.94,88.0,0.19,71.0,37.96,300633390.12
APAC,AI,1994-03-03,900066.95,3642,4.6,27373.41,25.0,4.9,83.0,0.26,67.0,44.85,300633390.12
APAC,AI,1994-03-05,1962262.94,3584,2.5,88820.71,22.0,3.44,37.0,0.13,50.0,61.38,300633390.12
APAC,AI,1994-03-11,922949.77,529,1.7,50999.0,0.0,2.61,54.0,0.19,51.0,56.29,300633390.12
APAC,AI,1994-03-16,178425.48,4765,2.2,41960.53,22.0,2.06,39.0,0.25,62.0,54.31,300633390.12
APAC,AI,1994-04-01,1535679.64,3489,5.0,43592.86,16.0,3.44,81.0,0.26,64.0,51.26,342955507.98
APAC,AI,1994-04-11,1300734.68,3827,3.6,183825.35,6.0,4.09,17.0,0.07,58.0,59.85,342955507.98
APAC,AI,1994-04-13,1963934.07,1656,2.2,108661.28,23.0,1.64,13.0,0.06,73.0,37.15,342955507.98
APAC,AI,1994-04-14,1389611.14,3687,2.7,21431.6,9.0,0.11,20.0,0.27,87.0,64.12,342955507.98
APAC,AI,1994-04-15,207357.17,2141,2.4,64372.8,5.0,3.08,16.0,0.12,87.0,50.41,342955507.98
APAC,AI,1994-04-23,1508756.52,596,4.2,19957.53,17.0,4.32,49.0,0.12,54.0,61.67,342955507.98
APAC,AI,1994-04-30,793249.53,4413,3.5,157732.77,3.0,0.12,53.0,0.1,51.0,54.8,342955507.98
APAC,AI,1994-05-17,1475879.09,4206,2.0,11153.97,23.0,4.16,71.0,0.15,71.0,39.85,342955507.98
APAC,AI,1994-05-19,1679327.64,1636,1.9,96852.35,24.0,4.42,83.0,0.26,82.0,33.52,342955507.98
APAC,AI,1994-06-01,2289466.96,3311,3.1,154100.17,13.0,2.795,31.0,0.16999999999999998,75.0,53.65,685911015.96
APAC,AI,1994-06-05,1559121.81,4225,3.0,140065.09,4.0,1.99,73.0,0.15,69.0,41.41,342955507.98
APAC,AI,1994-06-06,464206.28,3804,4.3,172003.94,16.0,1.74,68.0,0.06,61.0,67.59,342955507.98
APAC,AI,1994-06-15,427939.43,136,2.4,77209.18,13.0,1.56,60.0,0.29,78.0,54.07,342955507.98
APAC,AI,1994-06-25,741633.35,4389,3.4,68144.66,8.0,2.47,59.0,0.27,80.0,38.27,342955507.98
APAC,AI,1994-07-08,1393777.95,4717,3.4,118827.64,25.0,4.48,48.0,0.11,68.0,51.72,368159270.01
APAC,AI,1994-07-14,1440540.03,4077,1.9,44401.94,15.0,0.25,15.0,0.13,82.0,44.7,368159270.01
APAC,AI,1994-07-22,707910.86,2391,4.1,162675.62,10.0,3.21,19.0,0.29,87.0,40.93,368159270.01
APAC,AI,1994-08-04,418366.31,4660,4.1,141809.54,23.0,1.48,35.0,0.14,80.0,43.83,368159270.01
APAC,AI,1994-08-09,715025.07,4602,2.5,133791.74,20.0,2.32,74.0,0.09,60.0,61.29,368159270.01
APAC,AI,1994-08-10,396472.32,307,1.5,186531.01,12.0,4.8,77.0,0.05,88.0,44.37,368159270.01
APAC,AI,1994-08-16,1113714.24,4918,1.8,31892.79,14.0,2.55,18.0,0.05,85.0,32.04,368159270.01
APAC,AI,1994-08-22,1003644.99,2916,4.0,116540.99,10.0,3.31,83.0,0.29,58.0,37.54,368159270.01
APAC,AI,1994-09-01,1289701.34,2662,4.0,68000.63,1.0,1.05,31.0,0.18,52.0,33.47,368159270.01
APAC,AI,1994-09-02,843760.23,321,1.2,69984.17,15.0,2.36,54.0,0.28,61.0,50.8,368159270.01
APAC,AI,1994-09-05,1587273.8299999998,4434,2.1,153286.6,22.5,1.585,59.0,0.245,68.5,53.285,736318540.02
APAC,AI,1994-09-09,729149.04,2920,3.2,92363.89,24.0,0.4,11.0,0.18,75.0,69.53,368159270.01
APAC,AI,1994-09-14,1838603.38,432,2.6,91965.43,12.0,0.53,88.0,0.24,67.0,63.18,368159270.01
APAC,AI,1994-10-09,1700844.62,4852,3.2,91897.34,16.0,0.85,54.0,0.26,87.0,32.44,320012458.93
APAC,AI,1994-10-18,1812845.45,789,1.8,72291.45,23.0,0.58,47.0,0.18,83.0,68.02,320012458.93
APAC,AI,1994-10-19,1135409.69,1973,4.8,170233.94,20.0,3.08,41.0,0.07,73.0,48.67,320012458.93
APAC,AI,1994-11-01,213198.41,2849,3.7,188530.14,10.0,3.55,70.0,0.1,55.0,67.15,320012458.93
APAC,AI,1994-11-08,1797362.97,3702,3.4,175064.88,6.0,4.67,41.0,0.12,76.0,40.8,320012458.93
APAC,AI,1994-11-24,1916593.44,4030,4.6,122377.05,14.0,1.71,88.0,0.08,55.0,67.08,320012458.93
APAC,AI,1994-11-29,1297982.34,4192,1.3,143333.51,7.0,1.74,30.0,0.19,79.0,64.25,320012458.93
APAC,AI,1994-12-10,841224.4,2447,3.0,74618.71,16.0,0.42,63.0,0.3,66.0,65.1,320012458.93
APAC,AI,1994-12-16,1231198.11,3987,4.8,40435.99,2.0,4.95,37.0,0.26,51.0,46.83,320012458.93
APAC,AI,1994-12-27,230821.25,4280,2.6,27282.28,17.0,3.58,12.0,0.26,61.0,54.08,320012458.93
APAC,AI,1994-12-31,1419011.64,2566,3.4,91801.42,4.0,2.72,31.0,0.05,66.0,69.91,320012458.93
APAC,AI,1995-01-05,1447894.42,4598,2.5,106213.75,9.0,3.59,65.0,0.18,90.0,57.49,325489049.07
APAC,AI,1995-01-13,817785.04,3501,3.5,130844.39,23.0,3.5,56.0,0.29,55.0,43.04,325489049.07
APAC,AI,1995-01-15,350187.43,2982,3.3,107756.69,22.0,3.5,71.0,0.24,58.0,51.15,325489049.07
APAC,AI,1995-01-20,470160.65,4736,3.2,20182.61,19.0,4.15,79.0,0.24,66.0,44.55,325489049.07
APAC,AI,1995-01-22,1076838.59,256,3.0,155206.12,22.0,3.7,22.0,0.2,51.0,53.09,325489049.07
APAC,AI,1995-01-23,2788545.8,6897,4.6,188379.01,16.5,2.19,88.0,0.185,54.0,42.39,650978098.14
APAC,AI,1995-01-24,723822.43,1740,3.1,70584.76,0.0,0.23,28.0,0.26,52.0,33.49,325489049.07
APAC,AI,1995-02-11,951632.4,3092,4.6,139179.37,18.0,2.18,27.0,0.16,61.0,48.24,325489049.07
APAC,AI,1995-02-15,1263796.97,2424,4.3,166709.15,2.0,1.68,84.0,0.27,64.0,48.33,325489049.07
APAC,AI,1995-02-21,1836994.96,2210,4.6,139069.97,2.0,1.3,46.0,0.2,78.0,67.87,325489049.07
APAC,AI,1995-03-09,1002204.65,2456,1.6,116793.59,5.0,4.73,40.0,0.1,89.0,46.58,325489049.07
APAC,AI,1995-03-11,541127.68,2390,3.4,52287.44,13.0,2.55,54.0,0.3,75.0,53.38,325489049.07
APAC,AI,1995-03-20,232344.17,1136,2.7,158472.96,9.0,2.65,86.0,0.22,66.0,62.51,325489049.07
APAC,AI,1995-04-08,1205189.81,4876,1.7,160909.13,23.0,2.4,36.0,0.07,81.0,54.21,315874893.32
APAC,AI,1995-04-24,1906242.44,565,1.4,79875.89,24.0,4.15,78.0,0.16,81.0,63.0,315874893.32
APAC,AI,1995-05-10,1507624.54,448,1.5,195675.87,16.0,2.75,17.0,0.12,54.0,63.9,315874893.32
APAC,AI,1995-05-20,1586112.61,298,1.4,92063.56,14.0,2.51,34.0,0.09,74.0,44.6,315874893.32
APAC,AI,1995-05-25,1110325.46,2778,2.8,193393.64,2.0,2.46,68.0,0.17,55.0,63.34,315874893.32
APAC,AI,1995-05-29,1720934.74,3179,2.7,141649.47,4.0,1.4,56.0,0.1,68.0,30.9,315874893.32
APAC,AI,1995-06-05,448254.98,520,2.7,51029.02,11.0,0.51,86.0,0.29,62.0,52.65,315874893.32
APAC,AI,1995-06-12,948881.34,2913,1.8,34026.73,4.0,2.7,75.0,0.17,53.0,61.58,315874893.32
APAC,AI,1995-06-20,324094.82,4740,2.5,52015.02,13.0,1.39,69.0,0.29,59.0,31.26,315874893.32
APAC,AI,1995-06-27,1563331.59,4683,4.4,50084.86,9.0,0.11,86.0,0.28,82.0,46.5,315874893.32
APAC,AI,1995-07-24,1085970.68,1771,4.0,28331.28,21.0,4.01,46.0,0.25,71.0,30.39,323268964.24
APAC,AI,1995-07-25,2520108.61,2824,3.35,142651.54,7.5,3.575,32.0,0.20500000000000002,55.0,45.905,646537928.48
APAC,AI,1995-08-08,311077.07,1449,2.1,135004.64,17.0,4.1,23.0,0.15,74.0,32.8,323268964.24
APAC,AI,1995-08-22,844465.32,1847,4.1,14985.55,22.0,2.14,74.0,0.07,81.0,37.97,323268964.24
APAC,AI,1995-08-24,509541.72,1874,3.0,155228.65,13.0,1.58,35.0,0.12,52.0,52.71,323268964.24
APAC,AI,1995-08-26,1803543.17,2136,4.9,173794.7,18.0,3.38,66.0,0.22,61.0,39.0,323268964.24
APAC,AI,1995-09-07,631882.11,2376,4.3,141990.66,16.0,2.93,85.0,0.24,73.0,33.62,323268964.24
APAC,AI,1995-09-10,625487.3,4131,5.0,167100.43,11.0,0.2,15.0,0.21,68.0,64.27,323268964.24
