Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
APAC,Data Center,1993-04-08,1547442.11,2785,3.5,89529.6,8.0,3.59,20.0,0.15,88.0,65.16,275501869.91
APAC,Data Center,1993-04-25,713559.95,3855,4.0,38828.58,17.0,4.67,48.0,0.08,74.0,59.49,275501869.91
APAC,Data Center,1993-04-28,189670.09,1649,2.2,119523.53,19.0,1.54,26.0,0.09,81.0,53.63,275501869.91
APAC,Data Center,1993-05-16,1420407.13,4830,1.8,79521.61,8.0,0.82,34.0,0.21,81.0,68.24,275501869.91
APAC,Data Center,1993-05-17,347942.99,2540,3.7,97283.16,15.0,3.28,34.0,0.28,57.0,38.49,275501869.91
APAC,Data Center,1993-05-22,1454419.73,3919,4.3,103050.18,13.0,2.98,73.0,0.09,68.0,53.48,275501869.91
APAC,Data Center,1993-05-23,387331.38,4095,4.9,30667.43,24.0,4.43,19.0,0.15,77.0,36.85,275501869.91
APAC,Data Center,1993-05-27,564923.06,2002,4.4,172257.19,11.0,2.5,15.0,0.11,53.0,69.42,275501869.91
APAC,Data Center,1993-06-07,389251.01,3558,4.4,184276.23,1.0,0.65,48.0,0.26,78.0,51.86,275501869.91
APAC,Data Center,1993-06-12,911847.02,223,1.8,61178.89,4.0,3.78,73.0,0.12,64.0,54.34,275501869.91
APAC,Data Center,1993-06-13,2241519.16,8803,3.5,220982.01,12.0,1.365,54.0,0.225,60.0,42.39,551003739.82
APAC,Data Center,1993-06-15,688252.85,1279,2.4,196294.42,7.0,3.88,35.0,0.27,52.0,32.8,275501869.91
APAC,Data Center,1993-06-29,1617731.4,1689,3.2,95834.71,20.0,3.69,16.0,0.25,89.0,35.06,275501869.91
APAC,Data Center,1993-06-30,1068322.06,217,4.9,142977.55,22.0,2.68,60.0,0.22,50.0,50.39,275501869.91
APAC,Data Center,1993-07-18,1811635.83,3524,4.0,89768.25,6.0,4.27,67.0,0.23,53.0,61.34,315553056.4
APAC,Data Center,1993-07-20,1381189.79,2785,3.0,191051.32,3.0,4.57,39.0,0.14,76.0,61.95,315553056.4
APAC,Data Center,1993-07-26,185223.08,1593,1.1,199338.15,2.0,3.44,51.0,0.15,80.0,62.08,315553056.4
APAC,Data Center,1993-07-30,919626.38,226,1.8,147235.88,19.0,1.36,18.0,0.09,76.0,55.15,315553056.4
APAC,Data Center,1993-08-07,1343042.65,2225,4.7,88553.31,14.0,0.76,72.0,0.06,59.0,30.03,315553056.4
APAC,Data Center,1993-08-14,161094.48,2695,3.5,162722.71,20.0,0.68,29.0,0.1,59.0,49.92,315553056.4
APAC,Data Center,1993-08-16,565041.75,374,3.5,194392.69,24.0,3.87,33.0,0.14,89.0,39.67,315553056.4
