Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
APAC,Gaming,1993-04-14,579280.39,2940,1.7,48977.32,21.0,1.42,20.0,0.19,87.0,39.21,275501869.91
APAC,Gaming,1993-04-17,1132003.83,4911,2.1,171938.36,23.0,2.57,66.0,0.08,67.0,53.78,275501869.91
APAC,Gaming,1993-04-19,2519183.13,2452,2.55,304166.62,7.0,3.0250000000000004,65.0,0.14,64.5,52.269999999999996,551003739.82
APAC,Gaming,1993-05-20,1793844.24,2781,4.8,60536.42,22.0,0.59,18.0,0.12,65.0,68.1,275501869.91
APAC,Gaming,1993-05-23,1924537.25,4571,2.0,135852.66,2.0,0.62,51.0,0.15,86.0,67.67,275501869.91
APAC,Gaming,1993-06-08,831772.89,3297,1.7,113466.74,19.0,0.65,73.0,0.23,72.0,62.0,275501869.91
APAC,Gaming,1993-06-12,939199.96,665,1.6,160320.68,11.0,4.4,46.0,0.3,73.0,61.01,275501869.91
APAC,Gaming,1993-07-11,1878942.18,1263,3.4,212839.63999999998,13.0,4.21,68.5,0.065,84.5,65.37,631106112.8
APAC,Gaming,1993-07-15,1617569.38,3886,2.1,145269.85,3.0,2.08,26.0,0.22,59.0,49.07,315553056.4
APAC,Gaming,1993-07-16,446799.62,3266,4.5,189926.51,16.0,0.2,19.0,0.08,81.0,31.23,315553056.4
APAC,Gaming,1993-07-24,1533612.19,1642,4.0,163435.56,7.0,0.52,86.0,0.25,58.0,64.92,315553056.4
APAC,Gaming,1993-09-05,1848664.88,3085,2.1,31437.14,23.0,4.65,60.0,0.28,57.0,32.03,315553056.4
APAC,Gaming,1993-09-10,472089.84,1091,2.2,45553.66,23.0,2.76,24.0,0.27,56.0,64.2,315553056.4
APAC,Gaming,1993-09-21,1348300.13,142,4.8,119263.66,14.0,1.41,35.0,0.27,67.0,31.03,315553056.4
APAC,Gaming,1993-10-01,999791.11,3468,2.7,178030.11,17.0,0.99,88.0,0.28,88.0,32.95,319662335.65
APAC,Gaming,1993-10-07,1575611.35,1802,4.6,143314.37,20.0,4.77,63.0,0.26,82.0,66.59,319662335.65
APAC,Gaming,1993-10-15,1166846.96,1594,3.6,95009.25,5.0,2.41,66.0,0.18,90.0,48.81,319662335.65
APAC,Gaming,1993-10-19,613448.21,433,3.7,35230.07,12.0,3.97,45.0,0.15,62.0,67.2,319662335.65
APAC,Gaming,1993-10-25,1724957.59,1041,4.1,196950.01,17.0,1.76,20.0,0.3,74.0,66.96,319662335.65
APAC,Gaming,1993-10-27,428806.23,3896,3.3,155815.03,4.0,4.21,55.0,0.27,68.0,56.44,319662335.65
APAC,Gaming,1993-11-09,286984.37,1373,1.2,184823.89,2.0,3.46,65.0,0.28,68.0,37.64,319662335.65
APAC,Gaming,1993-11-11,1402213.6,4926,4.8,37853.37,8.0,2.12,88.0,0.11,63.0,56.21,319662335.65
APAC,Gaming,1993-11-16,140771.39,780,4.2,188960.74,15.0,2.02,19.0,0.16,89.0,35.94,319662335.65
