Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
APAC,OEM,1993-04-12,168862.99,1131,4.4,117341.16,1.0,4.47,56.0,0.14,54.0,33.18,275501869.91
APAC,OEM,1993-04-16,683962.66,2715,4.2,170944.38,22.0,4.51,41.0,0.2,58.0,55.62,275501869.91
APAC,OEM,1993-04-21,576642.53,3556,3.5,171090.06,1.0,4.46,19.0,0.22,85.0,41.33,275501869.91
APAC,OEM,1993-05-01,3037579.51,4879,2.7,162321.56,6.5,2.615,77.5,0.265,72.5,50.365,551003739.82
APAC,OEM,1993-05-02,855112.19,1055,3.2,123521.91,5.0,0.99,11.0,0.1,56.0,55.4,275501869.91
APAC,OEM,1993-05-16,1013423.95,2533,3.5,167161.27,21.0,1.1,15.0,0.13,50.0,58.18,275501869.91
APAC,OEM,1993-05-25,336361.44,385,2.3,13314.82,25.0,3.14,31.0,0.18,58.0,31.22,275501869.91
APAC,OEM,1993-06-24,899947.64,2369,1.4,110046.55,21.0,3.69,47.0,0.22,51.0,35.74,275501869.91
APAC,OEM,1993-06-27,900243.39,1124,4.8,176034.21,5.0,1.67,58.0,0.11,83.0,62.5,275501869.91
APAC,OEM,1993-07-07,259786.45,2439,1.3,178733.78,4.0,2.54,20.0,0.23,65.0,40.29,315553056.4
APAC,OEM,1993-07-30,1772038.95,271,3.7,139655.26,16.0,4.49,16.0,0.15,89.0,60.6,315553056.4
APAC,OEM,1993-08-01,1142761.92,2706,3.1,24839.68,9.0,3.93,78.0,0.2,84.0,34.01,315553056.4
APAC,OEM,1993-08-06,1593643.61,545,3.0,122034.68,6.0,2.84,54.0,0.21,86.0,69.37,315553056.4
APAC,OEM,1993-08-07,1164554.46,1879,2.4,185405.8,13.0,4.68,18.0,0.3,51.0,46.75,315553056.4
APAC,OEM,1993-08-12,2637826.0700000003,8883,2.75,309172.54000000004,13.5,2.925,31.5,0.175,61.0,54.51,631106112.8
APAC,OEM,1993-08-25,974180.31,4217,3.8,117232.68,13.0,4.01,16.0,0.27,66.0,65.44,315553056.4
APAC,OEM,1993-08-31,1039488.13,3114,4.4,52277.26,20.0,0.97,53.0,0.27,85.0,53.3,315553056.4
APAC,OEM,1993-09-09,502896.25,3906,4.1,105445.66,10.0,1.16,16.0,0.28,77.0,59.42,315553056.4
APAC,OEM,1993-09-12,241832.46,158,2.3,49148.61,19.0,4.06,16.0,0.18,62.0,58.62,315553056.4
APAC,OEM,1993-09-14,1334428.51,4632,4.7,87649.31,21.0,4.82,29.0,0.11,72.0,67.95,315553056.4
APAC,OEM,1993-09-18,1146424.78,3663,2.0,54283.31,14.0,4.71,67.0,0.1,58.0,61.14,315553056.4
APAC,OEM,1993-09-19,571539.37,3113,5.0,69548.36,6.0,4.51,63.0,0.16,59.0,62.8,315553056.4
APAC,OEM,1993-09-20,1482090.57,1682,3.4,198782.04,10.0,4.58,14.0,0.06,87.0,46.24,315553056.4
APAC,OEM,1993-09-23,1929333.36,4737,1.3,55956.52,19.0,1.99,31.0,0.11,74.0,52.47,315553056.4
APAC,OEM,1993-09-26,225765.17,1183,2.3,49207.29,14.0,3.85,19.0,0.05,88.0,65.46,315553056.4
APAC,OEM,1993-10-01,696754.08,2143,4.5,110719.8,11.0,1.64,77.0,0.06,73.0,42.44,319662335.65
APAC,OEM,1993-10-03,686792.39,4464,2.2,106707.85,19.0,2.17,12.0,0.13,84.0,59.38,319662335.65
APAC,OEM,1993-10-24,1427988.74,263,2.4,27029.14,9.0,4.07,71.0,0.05,76.0,65.64,319662335.65
APAC,OEM,1993-10-27,213336.3,947,1.8,183451.68,5.0,2.81,37.0,0.14,86.0,46.32,319662335.65
APAC,OEM,1993-11-01,1079621.12,878,4.9,145068.48,16.0,3.54,26.0,0.18,90.0,52.05,319662335.65
APAC,OEM,1993-11-12,534094.42,4053,3.2,19437.04,4.0,3.39,62.0,0.14,70.0,61.57,319662335.65
APAC,OEM,1993-11-13,734105.07,1253,4.7,99012.86,3.0,0.38,14.0,0.06,80.0,61.63,319662335.65
APAC,OEM,1993-11-19,1831513.6,4415,3.9,75515.62,4.0,2.19,52.0,0.08,68.0,59.04,319662335.65
APAC,OEM,1993-11-24,1997054.06,1978,3.1,126594.5,23.0,4.59,19.0,0.28,54.0,52.82,319662335.65
APAC,OEM,1993-12-03,1155597.64,1227,1.1,129222.81,16.0,0.55,65.0,0.29,56.0,68.47,319662335.65
APAC,OEM,1993-12-04,1958208.49,329,3.9,124321.91,2.0,0.18,55.0,0.22,58.0,59.32,319662335.65
