Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
Africa,AI,1993-04-05,1233618.9,1375,1.3,55159.89,15.0,0.15,24.0,0.2,61.0,60.7,275501869.91
Africa,AI,1993-04-20,789218.54,4740,1.8,78843.93,21.0,4.26,74.0,0.16,61.0,47.65,275501869.91
Africa,AI,1993-04-27,1989928.94,3394,3.1,42608.93,24.0,4.05,60.0,0.15,78.0,42.7,275501869.91
Africa,AI,1993-05-01,787556.01,3579,1.2,160829.44,10.0,4.17,69.0,0.14,87.0,58.91,275501869.91
Africa,AI,1993-05-03,619974.74,4141,4.0,124897.84,22.0,0.21,90.0,0.19,84.0,61.67,275501869.91
Africa,AI,1993-05-16,697751.01,250,3.3,119993.64,18.0,4.74,43.0,0.16,59.0,52.18,275501869.91
Africa,AI,1993-05-17,524518.47,3059,2.1,57646.51,3.0,0.27,67.0,0.29,85.0,69.51,275501869.91
Africa,AI,1993-06-04,1122468.59,2979,2.3,148122.2,10.0,4.83,24.0,0.23,55.0,65.22,275501869.91
Africa,AI,1993-06-09,855267.55,4282,2.0,192611.97,10.0,0.47,60.0,0.21,83.0,67.21,275501869.91
Africa,AI,1993-06-16,1453265.54,2975,1.8,135838.04,1.0,3.58,38.0,0.29,78.0,65.81,275501869.91
Africa,AI,1993-06-22,1543626.81,4575,4.9,73473.75,7.0,3.0,68.0,0.2,83.0,52.69,275501869.91
Africa,AI,1993-06-25,1134423.92,4005,1.6,180140.33,24.0,1.37,22.0,0.07,89.0,54.55,275501869.91
Africa,AI,1993-07-11,1468919.06,4219,2.0,144379.19,19.0,1.11,29.0,0.11,85.0,45.99,315553056.4
Africa,AI,1993-07-19,1939602.25,2868,1.2,176142.82,5.0,0.34,53.0,0.2,66.0,38.15,315553056.4
Africa,AI,1993-08-03,1878791.4,222,4.0,109565.48,15.0,3.58,65.0,0.13,74.0,44.06,315553056.4
Africa,AI,1993-08-08,929913.26,4660,3.4,132758.7,7.0,2.57,16.0,0.06,59.0,34.89,315553056.4
Africa,AI,1993-08-11,75404.39,2256,1.5,138085.6,7.0,2.5,79.0,0.27,83.0,31.0,315553056.4
Africa,AI,1993-08-24,1714240.58,2249,3.6,179360.28,7.0,3.79,48.0,0.27,81.0,69.13,315553056.4
Africa,AI,1993-08-26,1568264.8499999999,5382,1.85,52346.96,15.0,2.17,23.5,0.2,74.0,55.260000000000005,631106112.8
Africa,AI,1993-09-09,595475.76,4956,2.6,178239.54,17.0,4.9,57.0,0.09,59.0,44.61,315553056.4
Africa,AI,1993-09-10,1366849.22,327,2.5,82833.44,24.0,4.09,60.0,0.15,64.0,49.81,315553056.4
Africa,AI,1993-09-24,272130.71,2309,2.5,182009.74,18.0,2.91,41.0,0.23,66.0,37.58,315553056.4
Africa,AI,1993-09-26,922350.49,4019,4.7,158872.59,23.0,3.47,89.0,0.13,58.0,37.48,315553056.4
Africa,AI,1993-10-09,373065.33,1451,2.2,99327.72,25.0,1.53,50.0,0.25,84.0,41.85,319662335.65
Africa,AI,1993-11-07,355890.16,4816,3.2,193492.18,7.0,3.05,85.0,0.29,63.0,47.76,319662335.65
Africa,AI,1993-12-01,1164672.55,4743,1.1,115428.8,6.0,1.23,88.0,0.07,67.0,34.66,319662335.65
Africa,AI,1993-12-13,289555.4,1555,3.3,139242.65,0.0,4.34,48.0,0.23,73.0,32.09,319662335.65
Africa,AI,1993-12-31,3782893.4000000004,2784,2.9,155188.32,8.0,2.14,59.5,0.12,65.0,56.980000000000004,639324671.3
Africa,AI,1994-01-03,523884.0,2563,1.9,91419.92,25.0,3.85,90.0,0.18,57.0,41.16,300633390.12
Africa,AI,1994-01-12,472380.66,4148,2.6,76942.96,24.0,2.88,36.0,0.13,82.0,60.95,300633390.12
Africa,AI,1994-01-13,529730.76,1813,3.6,12594.72,13.0,2.77,67.0,0.16,63.0,62.25,300633390.12
Africa,AI,1994-01-27,410422.86,2866,3.9,45259.46,17.0,1.56,27.0,0.28,66.0,52.62,300633390.12
Africa,AI,1994-02-02,1920618.3,2217,3.3,84700.44,19.0,2.35,59.0,0.11,55.0,58.18,300633390.12
Africa,AI,1994-02-07,1606357.38,3891,4.2,163699.29,6.0,4.59,44.0,0.14,76.0,42.85,300633390.12
Africa,AI,1994-02-16,1572122.14,3562,2.9,117782.25,24.0,2.17,79.0,0.27,89.0,49.73,300633390.12
Africa,AI,1994-03-06,220570.28,4004,4.3,25657.59,4.0,0.56,85.0,0.24,59.0,64.83,300633390.12
Africa,AI,1994-03-18,1611260.02,4543,4.1,39009.16,13.0,1.2,44.0,0.1,53.0,57.95,300633390.12
Africa,AI,1994-03-26,1532181.8,1386,4.3,18163.27,15.0,4.42,66.0,0.05,74.0,35.72,300633390.12
Africa,AI,1994-03-31,752430.55,337,2.1,116130.09,12.0,0.28,83.0,0.17,57.0,38.65,300633390.12
Africa,AI,1994-04-01,323029.78,715,3.3,149557.64,19.0,1.66,14.0,0.23,50.0,62.3,342955507.98
Africa,AI,1994-04-04,480595.73,4599,4.8,18598.87,0.0,2.18,85.0,0.29,77.0,38.06,342955507.98
Africa,AI,1994-04-13,1232489.28,3318,4.2,101058.64,22.0,2.78,75.0,0.18,66.0,42.31,342955507.98
Africa,AI,1994-04-27,1472742.18,3416,3.8,172279.5,3.0,3.49,28.0,0.16,84.0,62.75,342955507.98
Africa,AI,1994-05-13,188806.74,1399,4.0,145254.67,5.0,4.95,69.0,0.2,57.0,43.07,342955507.98
Africa,AI,1994-05-15,1698005.22,1836,4.4,198588.23,25.0,1.71,35.0,0.25,58.0,40.15,342955507.98
Africa,AI,1994-05-24,392203.29,3964,4.2,180583.11,22.0,0.59,85.0,0.2,58.0,40.36,342955507.98
Africa,AI,1994-05-31,1435298.55,3044,3.6,192138.03,1.0,0.57,51.0,0.17,55.0,64.77,342955507.98
Africa,AI,1994-06-10,238764.67,3180,3.0,147224.43,25.0,1.76,64.0,0.09,83.0,30.5,342955507.98
Africa,AI,1994-06-15,1562234.14,4970,3.8,34548.69,12.0,1.46,28.0,0.15,77.0,69.41,342955507.98
Africa,AI,1994-06-17,1865585.87,2029,1.7,117988.26,14.0,3.54,89.0,0.1,53.0,45.41,342955507.98
Africa,AI,1994-06-26,1742820.73,6997,3.2,209631.62,16.5,2.72,80.5,0.11,65.0,45.575,685911015.96
Africa,AI,1994-07-01,1475123.66,4239,2.0,76656.66,12.0,3.45,16.0,0.24,88.0,49.93,368159270.01
Africa,AI,1994-07-13,50615.24,618,3.9,187334.6,9.0,0.96,61.0,0.24,55.0,66.41,368159270.01
Africa,AI,1994-07-23,578880.05,159,3.0,41120.61,8.0,2.22,31.0,0.21,68.0,44.04,368159270.01
Africa,AI,1994-07-24,1612539.95,3322,3.6,57644.42,8.0,2.43,68.0,0.29,81.0,59.08,368159270.01
Africa,AI,1994-07-25,1545484.54,3658,2.7,171372.71,12.0,1.95,90.0,0.11,58.0,64.42,368159270.01
Africa,AI,1994-08-05,1750934.33,3659,4.1,111024.01,2.0,3.95,65.0,0.19,63.0,35.82,368159270.01
Africa,AI,1994-08-15,1851609.01,271,1.4,14828.52,13.0,1.11,34.0,0.12,86.0,54.6,368159270.01
Africa,AI,1994-08-17,1952778.91,1709,3.9,77773.5,3.0,2.45,68.0,0.28,64.0,41.78,368159270.01
Africa,AI,1994-08-19,433478.13,683,2.1,183898.13,10.0,0.5,16.0,0.25,83.0,59.2,368159270.01
Africa,AI,1994-08-21,77395.96,1363,2.6,54531.31,17.0,4.16,47.0,0.25,54.0,61.59,368159270.01
Africa,AI,1994-09-07,907851.08,4120,2.3,111313.19,19.0,4.12,87.0,0.08,71.0,58.49,368159270.01
