Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
Africa,Data Center,1993-04-17,774405.47,2011,3.8,158150.11,21.0,4.04,15.0,0.23,87.0,52.62,275501869.91
Africa,Data Center,1993-05-08,1451934.8,2167,2.6,45077.16,15.0,4.35,48.0,0.17,67.0,37.15,275501869.91
Africa,Data Center,1993-05-10,1059287.98,1140,4.5,85358.82,17.0,2.48,43.0,0.2,78.0,62.41,275501869.91
Africa,Data Center,1993-05-24,1359244.36,2100,4.7,106256.8,18.0,3.14,38.0,0.17,80.0,45.66,275501869.91
Africa,Data Center,1993-05-31,877452.11,3240,3.1,186131.03,19.0,0.22,79.0,0.27,88.0,41.87,275501869.91
Africa,Data Center,1993-06-15,949046.86,1628,1.5,90816.26,25.0,0.64,19.0,0.12,88.0,64.28,275501869.91
Africa,Data Center,1993-06-16,306929.03,1982,2.2,127157.49,4.0,2.76,10.0,0.26,87.0,30.69,275501869.91
Africa,Data Center,1993-07-12,169748.49,2258,4.8,65572.77,18.0,0.42,69.0,0.14,53.0,49.96,315553056.4
Africa,Data Center,1993-07-15,1713061.75,1282,3.6,84452.16,3.0,0.13,71.0,0.25,80.0,69.6,315553056.4
Africa,Data Center,1993-07-19,853049.52,4576,4.4,101346.52,8.0,2.42,71.0,0.22,86.0,58.5,315553056.4
Africa,Data Center,1993-08-01,177467.98,4046,5.0,29822.47,8.0,4.86,61.0,0.3,81.0,32.53,315553056.4
Africa,Data Center,1993-08-06,1176863.94,4795,4.6,107341.67,8.0,4.74,56.0,0.09,84.0,52.26,315553056.4
Africa,Data Center,1993-08-13,129169.72,1152,1.0,75381.64,0.0,2.38,38.0,0.26,67.0,61.7,315553056.4
Africa,Data Center,1993-08-17,1877715.25,3585,2.1,74715.11,7.0,3.78,90.0,0.21,64.0,37.21,315553056.4
Africa,Data Center,1993-09-08,279414.75,2955,3.2,81262.46,19.0,1.81,69.0,0.28,79.0,58.45,315553056.4
