Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
Africa,Gaming,1993-04-09,886137.85,4294,2.6,140053.84,19.0,4.51,30.0,0.07,88.0,41.79,275501869.91
Africa,Gaming,1993-04-11,1452048.28,1542,3.8,75561.34,13.0,1.86,33.0,0.07,61.0,53.88,275501869.91
Africa,Gaming,1993-04-15,848254.99,1717,3.1,175724.82,2.0,0.66,22.0,0.2,75.0,58.93,275501869.91
Africa,Gaming,1993-05-04,1986413.1,4048,1.1,152925.26,18.0,3.32,39.0,0.09,87.0,62.43,275501869.91
Africa,Gaming,1993-05-07,874373.47,2843,4.6,126442.65,21.0,2.35,47.0,0.25,87.0,45.98,275501869.91
Africa,Gaming,1993-05-08,883976.46,3070,3.1,46351.84,2.0,4.91,76.0,0.3,66.0,41.89,275501869.91
Africa,Gaming,1993-05-13,81157.44,4678,4.7,38439.04,13.0,3.52,34.0,0.22,90.0,31.39,275501869.91
Africa,Gaming,1993-05-23,790933.98,1638,3.4,156547.29,21.0,2.48,20.0,0.09,86.0,45.47,275501869.91
Africa,Gaming,1993-06-06,1159879.78,2081,2.6,11846.65,0.0,4.85,26.0,0.1,59.0,46.22,275501869.91
Africa,Gaming,1993-06-07,1216852.73,368,4.5,68422.06,16.0,0.52,90.0,0.06,55.0,66.23,275501869.91
Africa,Gaming,1993-06-10,1338597.6,299,4.9,111532.04,15.0,1.22,30.0,0.07,50.0,49.12,275501869.91
Africa,Gaming,1993-06-16,814690.07,3198,1.2,171631.43,23.0,1.6,90.0,0.12,61.0,67.66,275501869.91
Africa,Gaming,1993-06-17,1306897.44,3387,1.9,81522.75,24.0,4.47,20.0,0.2,87.0,49.67,275501869.91
Africa,Gaming,1993-06-20,1841614.09,1060,2.8,17717.02,3.0,1.12,51.0,0.12,73.0,37.89,275501869.91
Africa,Gaming,1993-06-25,146326.69,1837,3.8,187887.09,1.0,2.85,58.0,0.27,62.0,40.04,275501869.91
Africa,Gaming,1993-07-09,1935365.64,4043,2.1,87592.62,19.0,0.75,38.0,0.21,59.0,53.47,315553056.4
Africa,Gaming,1993-07-14,1472876.94,3104,1.7,149707.87,11.0,4.98,12.0,0.24,55.0,43.02,315553056.4
Africa,Gaming,1993-07-22,1041403.63,4131,2.2,152906.44,21.0,0.52,10.0,0.14,69.0,63.27,315553056.4
Africa,Gaming,1993-08-07,1160485.76,512,2.3,107474.25,22.0,0.97,84.0,0.06,72.0,54.81,315553056.4
Africa,Gaming,1993-08-09,952778.62,1179,4.9,69491.12,0.0,2.73,58.0,0.25,59.0,54.56,315553056.4
Africa,Gaming,1993-08-12,422140.71,4716,4.3,52804.44,0.0,0.95,61.0,0.23,79.0,54.75,315553056.4
Africa,Gaming,1993-08-16,84186.9,1257,3.9,153713.02,2.0,0.52,18.0,0.23,89.0,33.99,315553056.4
Africa,Gaming,1993-08-26,503012.88,2192,4.2,99217.84,16.0,4.31,36.0,0.06,62.0,59.0,315553056.4
Africa,Gaming,1993-09-05,1693025.24,3322,3.2,42421.44,14.0,1.94,31.0,0.09,79.0,50.39,315553056.4
Africa,Gaming,1993-09-08,1322036.45,1074,3.1,18728.22,1.0,2.12,31.0,0.13,63.0,31.51,315553056.4
Africa,Gaming,1993-09-16,341494.84,145,2.0,147925.04,18.0,0.41,75.0,0.05,89.0,30.66,315553056.4
Africa,Gaming,1993-09-18,146604.71,3135,4.6,79201.97,10.0,1.53,75.0,0.27,61.0,67.82,315553056.4
Africa,Gaming,1993-09-29,1948857.7,1823,2.4,13268.65,21.0,2.61,60.0,0.11,72.0,67.97,315553056.4
Africa,Gaming,1993-10-09,690153.04,136,1.7,171980.92,10.0,0.58,28.0,0.12,78.0,68.61,319662335.65
