Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
Africa,OEM,1993-04-05,1447909.94,2912,2.5,107324.53,5.0,3.5,74.0,0.17,55.0,65.52,275501869.91
Africa,OEM,1993-04-07,1255504.71,3403,4.9,196636.62,2.0,2.64,51.0,0.14,72.0,31.74,275501869.91
Africa,OEM,1993-04-13,1119438.36,4520,4.5,43147.87,8.0,1.17,75.0,0.15,79.0,60.75,275501869.91
Africa,OEM,1993-04-14,404263.75,4748,4.2,43615.22,16.0,3.68,73.0,0.27,71.0,35.73,275501869.91
Africa,OEM,1993-04-17,1350641.52,3450,2.3,132288.28,11.0,1.25,88.0,0.16,56.0,37.22,275501869.91
Africa,OEM,1993-04-22,284877.2,2015,1.2,185558.43,12.0,4.91,50.0,0.14,52.0,37.08,275501869.91
Africa,OEM,1993-04-24,389520.88,2557,4.2,41328.83,17.0,0.47,82.0,0.18,66.0,65.49,275501869.91
Africa,OEM,1993-05-05,1522484.45,4239,3.5,190703.96,10.0,4.24,11.0,0.21,58.0,48.92,275501869.91
Africa,OEM,1993-05-06,696679.05,3503,1.8,57213.15,20.0,3.88,18.0,0.22,70.0,45.5,275501869.91
Africa,OEM,1993-05-27,116331.39,542,2.5,75467.27,2.0,2.8,16.0,0.14,73.0,52.08,275501869.91
Africa,OEM,1993-05-30,1888914.62,1711,3.4,133015.03,12.0,0.41,87.0,0.25,84.0,55.8,275501869.91
Africa,OEM,1993-06-03,109709.2,291,4.4,164876.41,0.0,2.38,65.0,0.05,75.0,68.17,275501869.91
Africa,OEM,1993-06-11,1923687.74,4592,4.4,65774.46,15.0,2.41,47.0,0.24,72.0,39.89,275501869.91
Africa,OEM,1993-06-20,1135874.95,571,1.2,137955.41,18.0,4.39,71.0,0.17,77.0,67.91,275501869.91
Africa,OEM,1993-07-05,3829608.3899999997,4533,2.5,195942.25,20.5,2.2199999999999998,85.0,0.145,67.0,52.415,631106112.8
Africa,OEM,1993-07-06,431802.92,1096,1.1,171731.2,8.0,2.25,13.0,0.15,65.0,56.02,315553056.4
Africa,OEM,1993-07-18,1388628.66,1468,4.8,91563.63,3.0,4.29,70.0,0.26,72.0,50.03,315553056.4
Africa,OEM,1993-07-26,1957740.74,3088,4.2,186555.8,15.0,1.15,38.0,0.28,82.0,41.38,315553056.4
Africa,OEM,1993-08-03,1850925.17,3622,2.9,30321.98,4.0,0.48,80.0,0.27,53.0,56.82,315553056.4
Africa,OEM,1993-08-10,1136727.91,1188,4.6,85385.79,12.0,0.52,66.0,0.13,66.0,50.77,315553056.4
Africa,OEM,1993-08-18,1656908.38,630,2.0,49579.06,9.0,2.6,86.0,0.24,65.0,50.8,315553056.4
Africa,OEM,1993-08-24,791165.04,3967,2.7,68271.98,14.0,4.68,22.0,0.28,85.0,65.26,315553056.4
Africa,OEM,1993-09-10,399513.69,4931,3.2,149737.17,21.0,2.21,84.0,0.17,85.0,59.35,315553056.4
Africa,OEM,1993-10-17,710286.41,4370,1.8,142946.83,3.0,0.61,81.0,0.21,71.0,30.93,319662335.65
Africa,OEM,1993-10-21,461147.5,2282,3.0,71423.1,11.0,1.79,17.0,0.21,85.0,55.84,319662335.65
Africa,OEM,1993-10-26,117475.76,3430,4.1,131021.62,3.0,2.91,56.0,0.14,72.0,44.93,319662335.65
Africa,OEM,1993-10-31,1926167.12,2934,4.5,64261.45,9.0,2.31,85.0,0.06,83.0,46.75,319662335.65
Africa,OEM,1993-11-01,1234599.68,750,2.6,30592.78,8.0,4.19,35.0,0.26,70.0,61.58,319662335.65
Africa,OEM,1993-11-15,1747616.31,4894,1.55,357975.4,9.5,3.065,50.0,0.13,88.0,48.995,639324671.3
Africa,OEM,1993-11-18,1519332.96,519,2.2,16490.76,15.0,4.1,68.0,0.23,54.0,44.35,319662335.65
Africa,OEM,1993-11-21,940225.41,4455,4.6,41231.46,24.0,0.33,70.0,0.23,57.0,63.48,319662335.65
Africa,OEM,1993-11-23,1188703.87,4043,4.4,171358.97,17.0,4.08,20.0,0.06,57.0,33.75,319662335.65
Africa,OEM,1993-11-29,1772200.49,1178,2.7,91449.13,1.0,2.99,47.0,0.09,78.0,68.12,319662335.65
Africa,OEM,1993-12-05,1168835.95,3432,3.5,128074.41,3.0,1.98,82.0,0.17,80.0,54.61,319662335.65
Africa,OEM,1993-12-10,1076755.05,884,1.3,159232.22,4.0,1.94,83.0,0.09,69.0,38.67,319662335.65
Africa,OEM,1993-12-13,857190.8,3004,3.8,61753.53,17.0,4.64,66.0,0.12,84.0,53.56,319662335.65
Africa,OEM,1993-12-15,1226482.63,4231,3.9,90807.72,14.0,1.28,28.0,0.11,65.0,61.05,319662335.65
Africa,OEM,1993-12-20,921397.33,331,2.0,21186.07,14.0,3.2,27.0,0.24,56.0,51.72,319662335.65
Africa,OEM,1993-12-22,1348008.14,4634,3.6,186035.9,0.0,0.48,55.0,0.14,89.0,47.89,319662335.65
Africa,OEM,1993-12-27,214773.25,311,3.2,198796.96,12.0,4.94,63.0,0.22,56.0,54.12,319662335.65
Africa,OEM,1993-12-30,1027386.3,261,1.0,58600.59,12.0,3.42,15.0,0.17,57.0,57.85,319662335.65
Africa,OEM,1994-01-03,1218896.59,3855,2.6,134608.95,23.0,3.45,76.0,0.18,53.0,34.08,300633390.12
Africa,OEM,1994-01-07,1009329.49,2382,1.4,73701.5,2.0,1.49,76.0,0.16,76.0,43.98,300633390.12
Africa,OEM,1994-01-17,839931.23,2162,4.5,113022.54,13.0,2.47,77.0,0.15,79.0,54.46,300633390.12
Africa,OEM,1994-02-17,316225.5,1941,2.8,62013.36,19.0,2.54,81.0,0.19,55.0,54.6,300633390.12
