Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
Europe,AI,1993-04-05,1727392.78,8192,1.9,259230.85,16.5,2.205,25.5,0.21000000000000002,62.0,57.06,551003739.82
Europe,AI,1993-04-19,283681.46,598,2.6,162133.19,14.0,4.6,67.0,0.27,54.0,31.38,275501869.91
Europe,AI,1993-04-20,1592794.34,903,3.6,38893.41,21.0,2.87,81.0,0.27,70.0,57.59,275501869.91
Europe,AI,1993-04-30,340809.16,1244,1.9,151956.26,1.0,0.87,55.0,0.28,72.0,32.55,275501869.91
Europe,AI,1993-05-04,270336.22,1186,3.7,197420.09,1.0,3.71,79.0,0.06,68.0,51.22,275501869.91
Europe,AI,1993-05-07,1770227.01,2412,3.6,73811.04,9.0,1.85,13.0,0.27,71.0,55.77,275501869.91
Europe,AI,1993-05-08,935208.91,2357,2.4,182640.38,11.0,2.26,22.0,0.25,55.0,42.74,275501869.91
Europe,AI,1993-05-14,282818.57,7714,1.95,175985.49,18.5,3.355,68.5,0.22999999999999998,64.0,59.015,551003739.82
Europe,AI,1993-05-26,851731.83,4259,2.8,145742.82,12.0,2.88,69.0,0.3,54.0,61.48,275501869.91
Europe,AI,1993-06-03,141008.95,4052,1.1,160362.69,13.0,1.6,38.0,0.29,68.0,34.81,275501869.91
Europe,AI,1993-06-08,721017.27,4810,2.9,10107.44,1.0,2.55,48.0,0.11,75.0,47.02,275501869.91
Europe,AI,1993-06-14,1097293.54,1775,4.1,136955.95,11.0,2.95,47.0,0.06,65.0,60.07,275501869.91
Europe,AI,1993-06-15,480670.58,2702,3.2,170509.35,15.0,4.91,33.0,0.27,57.0,58.63,275501869.91
Europe,AI,1993-06-20,1144561.14,3736,4.2,115566.11,8.0,1.02,48.0,0.1,54.0,41.42,275501869.91
Europe,AI,1993-06-24,917920.76,3511,1.8,170437.02,25.0,2.12,32.0,0.27,74.0,35.42,275501869.91
Europe,AI,1993-06-29,1370475.74,123,4.5,30339.02,17.0,0.49,63.0,0.1,86.0,54.6,275501869.91
Europe,AI,1993-08-07,1185952.97,2991,3.4,37460.14,3.0,2.22,54.0,0.13,58.0,45.72,315553056.4
Europe,AI,1993-08-20,1562468.36,4545,2.9,90463.59,25.0,4.88,46.0,0.05,58.0,57.72,315553056.4
Europe,AI,1993-09-06,1523139.71,3742,2.3,11330.32,19.0,4.03,85.0,0.2,53.0,67.98,315553056.4
Europe,AI,1993-09-12,1353987.18,2455,3.9,185161.74,23.0,3.42,51.0,0.19,58.0,64.23,315553056.4
Europe,AI,1993-09-15,433102.2,1003,4.7,83299.89,2.0,4.25,63.0,0.16,63.0,43.9,315553056.4
Europe,AI,1993-09-28,2309000.05,7711,3.7,73210.61,8.0,4.175000000000001,56.0,0.09,74.0,44.724999999999994,631106112.8
