Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
Europe,Data Center,1993-04-06,1593061.41,1786,1.9,127501.38,6.0,2.79,75.0,0.14,62.0,58.12,275501869.91
Europe,Data Center,1993-04-07,1914934.41,1800,2.5,269496.19,10.5,4.02,63.5,0.12,68.5,41.855000000000004,551003739.82
Europe,Data Center,1993-04-29,171379.4,3769,2.1,135941.13,3.0,2.04,46.0,0.13,60.0,39.33,275501869.91
Europe,Data Center,1993-05-12,1060032.78,1441,5.0,17844.14,4.0,2.49,29.0,0.28,85.0,56.74,275501869.91
Europe,Data Center,1993-05-16,94730.98,531,2.6,39224.44,24.0,4.76,10.0,0.1,83.0,65.55,275501869.91
Europe,Data Center,1993-05-18,1652990.81,914,3.8,113250.12,20.0,4.71,28.0,0.19,79.0,62.86,275501869.91
Europe,Data Center,1993-05-21,1943358.67,1291,3.7,100692.46,13.0,0.78,43.0,0.19,80.0,36.63,275501869.91
Europe,Data Center,1993-05-22,214069.39,1530,4.7,180059.4,3.0,4.5,40.0,0.06,54.0,39.64,275501869.91
Europe,Data Center,1993-06-07,1007990.86,1906,4.1,184254.26,2.0,1.12,68.0,0.1,73.0,62.38,275501869.91
Europe,Data Center,1993-06-10,616289.2,3365,3.3,136023.27,24.0,1.01,66.0,0.15,74.0,55.47,275501869.91
Europe,Data Center,1993-06-13,727387.35,190,1.7,15520.31,10.0,4.56,37.0,0.19,73.0,54.36,275501869.91
Europe,Data Center,1993-06-14,1537557.3,3316,1.3,57454.05,19.0,4.16,37.0,0.27,74.0,41.39,275501869.91
Europe,Data Center,1993-06-19,1836773.4,1232,2.9,11990.23,3.0,2.3,48.0,0.11,56.0,53.17,275501869.91
Europe,Data Center,1993-06-23,275188.91,456,1.9,79921.94,3.0,4.1,62.0,0.13,86.0,62.7,275501869.91
Europe,Data Center,1993-06-29,3111758.84,7161,3.5666666666666664,155696.84,14.333333333333334,2.526666666666667,47.333333333333336,0.13999999999999999,67.66666666666667,43.123333333333335,826505609.73
Europe,Data Center,1993-07-07,1290515.73,4832,2.1,80501.11,7.0,4.62,48.0,0.14,82.0,56.98,315553056.4
Europe,Data Center,1993-07-11,576476.19,3915,1.6,128404.0,5.0,0.73,60.0,0.09,67.0,30.18,315553056.4
Europe,Data Center,1993-07-14,1234108.52,3768,1.4,161026.98,18.0,3.68,60.0,0.29,64.0,56.1,315553056.4
Europe,Data Center,1993-07-17,1797881.95,1344,3.0,169502.18,5.0,3.55,21.0,0.1,66.0,39.48,315553056.4
Europe,Data Center,1993-07-21,799268.96,4997,4.9,156893.44,22.0,4.86,54.0,0.06,50.0,31.99,315553056.4
Europe,Data Center,1993-08-03,479617.25,3876,2.4,149971.11,20.0,1.22,79.0,0.22,80.0,52.78,315553056.4
Europe,Data Center,1993-08-04,1352481.39,1152,5.0,16501.37,9.0,2.15,13.0,0.29,54.0,44.19,315553056.4
