Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
Europe,Gaming,1993-04-08,104433.91,2794,4.3,47145.93,6.0,4.99,27.0,0.19,81.0,48.01,275501869.91
Europe,Gaming,1993-04-10,664622.11,895,4.5,108289.8,0.0,1.76,55.0,0.19,84.0,58.85,275501869.91
Europe,Gaming,1993-04-17,1705293.09,642,1.7,57369.24,17.0,4.51,18.0,0.16,76.0,61.89,275501869.91
Europe,Gaming,1993-04-24,145119.93,3323,2.4,199200.41,2.0,3.14,31.0,0.16,90.0,44.63,275501869.91
Europe,Gaming,1993-05-16,77531.07,213,4.5,193121.04,5.0,0.89,83.0,0.08,71.0,66.66,275501869.91
Europe,Gaming,1993-05-20,987491.9,1982,3.5,142989.49,16.0,0.36,65.0,0.22,53.0,58.25,275501869.91
Europe,Gaming,1993-05-27,930630.54,716,3.1,129267.67,7.0,4.61,88.0,0.22,61.0,40.12,275501869.91
Europe,Gaming,1993-06-02,1802679.1,1761,2.0,38927.15,1.0,1.64,75.0,0.13,59.0,63.29,275501869.91
Europe,Gaming,1993-06-05,1080308.93,4924,4.3,43542.56,20.0,1.57,29.0,0.14,90.0,50.14,275501869.91
Europe,Gaming,1993-06-19,877694.45,4438,1.6,141521.8,20.0,2.95,41.0,0.08,56.0,67.9,275501869.91
Europe,Gaming,1993-06-24,430187.6,2520,1.2,97230.78,4.0,1.83,82.0,0.11,79.0,49.07,275501869.91
Europe,Gaming,1993-06-30,872926.4,1418,4.2,129611.24,4.0,4.87,88.0,0.06,67.0,60.25,275501869.91
Europe,Gaming,1993-07-01,1378260.55,1381,4.2,99961.26,3.0,1.39,68.0,0.07,57.0,67.86,315553056.4
Europe,Gaming,1993-07-22,1946956.52,3995,3.4,136201.86,14.0,0.83,76.0,0.24,87.0,42.21,315553056.4
Europe,Gaming,1993-07-23,212843.72,1060,1.8,199589.33,22.0,0.98,18.0,0.29,56.0,30.7,315553056.4
Europe,Gaming,1993-08-03,1354270.74,3477,2.3,146820.65,17.0,4.2,89.0,0.29,53.0,32.77,315553056.4
Europe,Gaming,1993-08-05,1313287.47,1556,3.4,20066.23,5.0,3.56,64.0,0.09,90.0,69.06,315553056.4
Europe,Gaming,1993-08-06,748508.98,2410,4.6,151033.05,12.0,0.15,25.0,0.24,52.0,47.27,315553056.4
Europe,Gaming,1993-08-09,1681980.71,1194,3.5,193834.23,21.0,4.33,53.0,0.13,58.0,50.72,315553056.4
Europe,Gaming,1993-08-10,1876464.89,437,3.1,162248.56,12.0,0.98,39.0,0.29,58.0,59.17,315553056.4
Europe,Gaming,1993-08-11,641679.57,799,4.3,115693.6,9.0,2.16,24.0,0.17,55.0,52.64,315553056.4
Europe,Gaming,1993-09-02,1931470.29,683,4.1,90642.56,14.0,4.2,18.0,0.09,53.0,36.1,315553056.4
Europe,Gaming,1993-09-07,1587441.79,3347,2.6,132690.83,3.0,1.65,32.0,0.27,66.0,46.2,315553056.4
Europe,Gaming,1993-09-11,650542.84,1552,2.7,28532.08,18.0,1.24,69.0,0.09,58.0,66.04,315553056.4
Europe,Gaming,1993-09-21,1484353.53,2967,5.0,169178.61,22.0,4.84,11.0,0.27,72.0,60.99,315553056.4
Europe,Gaming,1993-09-26,1225839.8,694,1.5,107113.7,10.0,2.05,21.0,0.22,86.0,39.8,315553056.4
Europe,Gaming,1993-10-03,1454608.93,3062,2.8,139756.92,10.0,3.14,21.0,0.26,77.0,52.82,319662335.65
Europe,Gaming,1993-10-11,739863.83,1574,4.3,96896.62,1.0,0.3,57.0,0.2,75.0,37.37,319662335.65
Europe,Gaming,1993-10-20,1712559.95,3313,3.9,124185.66,7.0,4.19,23.0,0.07,58.0,32.36,319662335.65
Europe,Gaming,1993-10-29,864284.36,3735,2.7,66310.49,9.0,0.85,17.0,0.1,55.0,47.36,319662335.65
Europe,Gaming,1993-10-31,756829.55,719,1.6,38378.71,3.0,4.86,49.0,0.17,79.0,35.99,319662335.65
Europe,Gaming,1993-11-17,284054.8,333,3.2,102203.72,21.0,4.83,28.0,0.13,80.0,33.05,319662335.65
Europe,Gaming,1993-11-18,1527749.75,1002,1.7,127246.86,0.0,2.03,42.0,0.08,67.0,40.96,319662335.65
Europe,Gaming,1993-11-25,1805305.93,654,3.2,26772.45,7.0,0.9,13.0,0.15,74.0,36.74,319662335.65
Europe,Gaming,1993-12-04,1208847.47,4592,1.95,207556.25,15.0,1.73,37.0,0.195,82.0,36.595,639324671.3
Europe,Gaming,1993-12-14,824336.09,3905,2.9,133226.05,23.0,0.17,24.0,0.15,79.0,45.26,319662335.65
Europe,Gaming,1993-12-19,559388.26,1514,3.0,192750.65,7.0,3.31,34.0,0.19,81.0,58.67,319662335.65
Europe,Gaming,1993-12-22,291069.11,2202,4.9,149254.29,18.0,2.69,58.0,0.24,89.0,67.0,319662335.65
Europe,Gaming,1993-12-30,1414140.4,3766,3.1500000000000004,186100.28,1.5,2.755,21.5,0.15000000000000002,73.5,57.07,639324671.3
Europe,Gaming,1994-01-13,1847748.82,3072,3.4,152422.99,18.0,4.83,78.0,0.13,84.0,68.38,300633390.12
Europe,Gaming,1994-02-11,1147153.09,2718,3.4,196183.04,15.0,4.72,19.0,0.25,77.0,67.31,300633390.12
Europe,Gaming,1994-02-21,1138392.02,1027,3.6,110748.81,16.0,3.64,18.0,0.29,73.0,69.93,300633390.12
Europe,Gaming,1994-03-05,1297525.9,3571,3.9,126561.29,9.0,1.87,31.0,0.1,53.0,49.5,300633390.12
Europe,Gaming,1994-03-08,628450.65,2974,1.6,177358.28,8.0,2.33,62.0,0.12,88.0,35.05,300633390.12
Europe,Gaming,1994-03-11,503108.98,3927,3.6,19407.35,5.0,4.84,16.0,0.13,51.0,59.37,300633390.12
Europe,Gaming,1994-03-23,1610208.14,366,1.6,117909.5,24.0,2.6,23.0,0.21,50.0,64.34,300633390.12
Europe,Gaming,1994-04-10,766172.56,3714,1.5,152494.73,0.0,3.7,60.0,0.09,62.0,51.74,342955507.98
Europe,Gaming,1994-05-06,1039497.12,2987,4.0,16506.83,4.0,3.62,50.0,0.05,54.0,38.26,342955507.98
Europe,Gaming,1994-05-07,1212766.08,2478,1.6,193858.62,7.0,1.94,12.0,0.08,71.0,31.55,342955507.98
Europe,Gaming,1994-05-08,1662082.83,4554,4.4,199036.85,21.0,0.99,71.0,0.16,79.0,55.18,342955507.98
Europe,Gaming,1994-05-12,1733522.68,4899,2.1,80676.73,12.0,3.59,16.0,0.15,64.0,64.3,342955507.98
Europe,Gaming,1994-05-15,980122.4,652,4.6,91380.78,18.0,4.34,33.0,0.22,68.0,55.91,342955507.98
Europe,Gaming,1994-06-03,889203.32,4945,1.6,75158.52,13.0,3.27,60.0,0.28,62.0,55.17,342955507.98
Europe,Gaming,1994-07-02,1690300.04,2727,4.3,49976.19,5.0,1.99,19.0,0.13,54.0,59.92,368159270.01
Europe,Gaming,1994-07-15,863362.99,1138,2.0,169119.77,9.0,2.44,10.0,0.07,63.0,51.79,368159270.01
Europe,Gaming,1994-07-17,1570030.74,4764,3.8,187187.29,20.0,4.55,52.0,0.07,56.0,32.39,368159270.01
Europe,Gaming,1994-07-19,939578.18,1291,4.1,16895.71,4.0,1.26,45.0,0.25,75.0,44.19,368159270.01
