Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
Europe,OEM,1993-04-20,353758.72,3975,2.5,184011.41,5.0,4.3,38.0,0.12,67.0,34.55,275501869.91
Europe,OEM,1993-04-26,102300.96,4172,1.8,88726.39,24.0,1.17,76.0,0.19,79.0,59.62,275501869.91
Europe,OEM,1993-05-05,1671187.74,4840,4.4,68000.01,3.0,0.53,29.0,0.12,80.0,68.12,275501869.91
Europe,OEM,1993-05-18,1076849.24,2736,1.2,99673.07,13.0,4.19,36.0,0.2,72.0,30.09,275501869.91
Europe,OEM,1993-05-24,370389.79,2689,4.7,157970.81,0.0,2.92,55.0,0.06,89.0,51.16,275501869.91
Europe,OEM,1993-06-01,1336497.05,3512,3.0,142331.12,10.0,2.7,81.0,0.06,88.0,68.04,275501869.91
Europe,OEM,1993-06-02,429899.96,2350,2.5,10544.22,3.0,1.19,88.0,0.17,52.0,33.14,275501869.91
Europe,OEM,1993-06-05,2347682.05,5873,2.7,278776.04000000004,15.0,4.215,39.5,0.195,57.5,46.39,551003739.82
Europe,OEM,1993-06-11,350389.2,1040,4.3,27772.86,12.0,0.99,49.0,0.13,52.0,31.88,275501869.91
Europe,OEM,1993-06-23,1706999.85,5162,1.5,227675.66,22.0,3.96,51.5,0.19,66.5,45.7,551003739.82
Europe,OEM,1993-07-20,537338.73,4222,2.9,187047.19,0.0,1.9,85.0,0.1,64.0,41.58,315553056.4
Europe,OEM,1993-07-22,59934.24,1897,1.4,197308.95,10.0,0.33,31.0,0.25,80.0,41.58,315553056.4
Europe,OEM,1993-07-31,969544.12,1477,4.9,103251.09,1.0,4.34,14.0,0.1,50.0,39.45,315553056.4
Europe,OEM,1993-08-05,1890426.35,217,3.4,74107.11,4.0,0.8,39.0,0.1,82.0,33.46,315553056.4
Europe,OEM,1993-08-19,377279.58,3623,1.0,109504.44,3.0,3.45,15.0,0.22,71.0,63.76,315553056.4
Europe,OEM,1993-08-23,860870.21,3557,1.3,113284.42,0.0,3.23,70.0,0.18,54.0,50.33,315553056.4
Europe,OEM,1993-09-08,212613.04,750,1.0,70741.09,9.0,0.51,11.0,0.3,65.0,57.02,315553056.4
Europe,OEM,1993-09-13,1581388.5,3771,3.6,20184.96,4.0,1.28,37.0,0.16,81.0,52.69,315553056.4
Europe,OEM,1993-09-18,383252.75,4312,4.9,68661.31,23.0,3.07,53.0,0.2,50.0,55.64,315553056.4
Europe,OEM,1993-09-19,1407934.21,2527,2.9,75189.81,20.0,1.88,76.0,0.23,78.0,66.72,315553056.4
Europe,OEM,1993-10-13,743530.14,2433,1.7,116861.8,18.0,1.21,43.0,0.11,76.0,54.38,319662335.65
Europe,OEM,1993-10-20,1939394.42,1897,3.2,134620.33,16.0,1.7,62.0,0.21,86.0,33.04,319662335.65
Europe,OEM,1993-10-21,355112.88,2815,2.1,85367.07,16.0,1.07,29.0,0.14,77.0,34.76,319662335.65
Europe,OEM,1993-10-25,168905.68,4789,2.7,75711.72,0.0,3.92,40.0,0.28,53.0,57.66,319662335.65
Europe,OEM,1993-11-06,1564639.13,2965,4.3,29343.86,13.0,1.52,84.0,0.17,72.0,52.83,319662335.65
Europe,OEM,1993-11-07,1883890.72,1777,1.1,69480.75,23.0,2.94,50.0,0.3,80.0,59.44,319662335.65
Europe,OEM,1993-11-17,367043.46,2677,3.3,186504.15,20.0,1.75,88.0,0.28,66.0,32.67,319662335.65
Europe,OEM,1993-11-30,123651.15,2207,3.3,113259.04,15.0,2.1,59.0,0.21,52.0,61.2,319662335.65
Europe,OEM,1993-12-02,966310.92,2418,3.0,36697.09,6.0,2.87,20.0,0.12,78.0,62.87,319662335.65
Europe,OEM,1993-12-09,1242177.78,181,1.4,121454.17,13.0,2.86,33.0,0.15,59.0,59.18,319662335.65
Europe,OEM,1993-12-15,1997029.11,111,3.3,84503.14,21.0,3.72,35.0,0.14,74.0,54.83,319662335.65
Europe,OEM,1993-12-17,1204240.65,1255,4.5,68932.4,19.0,0.53,29.0,0.09,57.0,45.64,319662335.65
Europe,OEM,1993-12-22,969289.66,2722,2.8,90406.47,4.0,1.4,32.0,0.25,74.0,64.51,319662335.65
Europe,OEM,1994-01-16,625778.4,3122,1.9,81357.95,15.0,4.44,56.0,0.13,67.0,50.02,300633390.12
Europe,OEM,1994-01-21,373765.53,3641,3.8,46335.51,2.0,1.01,59.0,0.05,65.0,46.24,300633390.12
Europe,OEM,1994-02-04,1959546.9,1859,4.9,154015.97,24.0,0.81,50.0,0.14,50.0,44.03,300633390.12
Europe,OEM,1994-02-11,1536863.77,1532,4.1,187242.76,25.0,4.55,47.0,0.23,88.0,50.57,300633390.12
Europe,OEM,1994-02-12,879645.73,4693,1.8,77637.96,1.0,1.29,49.0,0.09,87.0,33.34,300633390.12
Europe,OEM,1994-02-16,1348288.9,1819,3.4,85942.36,16.0,3.38,72.0,0.13,82.0,33.55,300633390.12
Europe,OEM,1994-02-24,1619773.32,1678,4.5,72981.74,1.0,2.27,79.0,0.29,58.0,55.82,300633390.12
Europe,OEM,1994-03-13,1603808.7,1744,3.8,157226.6,0.0,4.9,36.0,0.17,80.0,37.87,300633390.12
Europe,OEM,1994-03-22,1841922.09,3383,1.7,140649.69,11.0,2.27,40.0,0.12,67.0,57.5,300633390.12
Europe,OEM,1994-03-23,69474.92,897,3.0,33387.67,20.0,1.22,15.0,0.13,50.0,39.47,300633390.12
Europe,OEM,1994-03-25,827297.85,2307,4.5,102197.36,22.0,3.73,59.0,0.23,60.0,46.54,300633390.12
Europe,OEM,1994-04-02,1804160.06,2730,3.4,96259.47,21.0,4.23,83.0,0.06,81.0,54.35,342955507.98
Europe,OEM,1994-04-04,1554489.95,7230,2.45,201690.27000000002,14.0,0.35,58.5,0.14500000000000002,70.5,56.375,685911015.96
Europe,OEM,1994-04-07,861857.54,2232,1.4,102981.09,7.0,2.49,73.0,0.05,67.0,60.64,342955507.98
Europe,OEM,1994-04-10,598130.96,409,4.1,14925.0,24.0,1.44,72.0,0.13,78.0,39.89,342955507.98
Europe,OEM,1994-04-23,1653995.86,1579,2.0,59873.44,20.0,1.95,45.0,0.27,56.0,35.32,342955507.98
Europe,OEM,1994-04-30,1634350.71,3053,3.1,115024.18,18.0,4.46,19.0,0.07,50.0,30.53,342955507.98
Europe,OEM,1994-05-06,1877081.36,4645,3.2,187607.53,17.0,1.28,81.0,0.09,67.0,59.41,342955507.98
Europe,OEM,1994-05-07,839564.24,4950,4.5,58539.47,2.0,4.82,60.0,0.18,76.0,44.32,342955507.98
Europe,OEM,1994-05-13,1494051.51,3227,2.6,70833.41,14.0,3.16,63.0,0.23,58.0,48.31,342955507.98
Europe,OEM,1994-05-17,92800.51,2966,4.5,89426.82,1.0,0.51,36.0,0.18,61.0,43.28,342955507.98
Europe,OEM,1994-05-21,1928363.68,1856,3.1,131985.99,18.0,0.9,84.0,0.07,53.0,32.23,342955507.98
