Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
Middle East,AI,1993-04-11,1751289.0,460,4.0,70428.08,20.0,3.45,17.0,0.3,50.0,41.65,275501869.91
Middle East,AI,1993-04-21,354352.63,889,1.8,99421.16,2.0,2.47,50.0,0.08,64.0,40.04,275501869.91
Middle East,AI,1993-04-23,612719.93,732,1.3,18534.41,16.0,4.53,17.0,0.14,59.0,62.53,275501869.91
Middle East,AI,1993-04-26,1668304.69,818,1.6,198649.44,17.0,2.27,80.0,0.12,80.0,41.74,275501869.91
Middle East,AI,1993-05-16,519218.63,1222,3.2,119866.82,16.0,3.87,40.0,0.3,51.0,66.26,275501869.91
Middle East,AI,1993-05-17,915151.22,4039,1.1,117833.3,12.0,1.63,10.0,0.26,68.0,35.79,275501869.91
Middle East,AI,1993-05-18,335692.33,3100,4.8,24476.78,2.0,0.36,85.0,0.25,67.0,33.1,275501869.91
Middle East,AI,1993-06-14,1972860.96,4609,3.9,48344.39,1.0,0.68,77.0,0.1,65.0,69.13,275501869.91
Middle East,AI,1993-07-03,198580.47,4273,2.7,144062.97,4.0,0.27,55.0,0.29,81.0,48.84,315553056.4
Middle East,AI,1993-07-05,1908179.35,1211,2.3,113229.27,8.0,4.47,85.0,0.2,86.0,67.22,315553056.4
Middle East,AI,1993-07-19,1871641.4,3290,4.4,152311.28,6.0,4.91,80.0,0.15,75.0,39.29,315553056.4
Middle East,AI,1993-07-20,725397.44,1153,3.2,108514.1,4.0,1.28,36.0,0.25,78.0,53.58,315553056.4
Middle East,AI,1993-07-30,1473639.1,4157,4.6,69265.87,22.0,1.42,22.0,0.28,85.0,53.76,315553056.4
Middle East,AI,1993-08-02,1732775.26,4904,3.5,18478.57,1.0,3.02,69.0,0.15,76.0,62.93,315553056.4
Middle East,AI,1993-08-19,1204274.94,4981,1.7,171566.14,5.0,0.6,57.0,0.06,77.0,44.38,315553056.4
Middle East,AI,1993-08-23,154668.33,477,2.0,144546.91,17.0,2.17,32.0,0.29,70.0,39.65,315553056.4
Middle East,AI,1993-08-24,1896421.04,1817,2.5,25264.4,15.0,1.92,62.0,0.08,53.0,58.67,315553056.4
Middle East,AI,1993-08-27,1438228.96,1636,4.7,86818.87,5.0,3.39,34.0,0.06,85.0,65.9,315553056.4
Middle East,AI,1993-08-28,82717.17,2160,4.9,80906.64,12.0,2.16,78.0,0.14,78.0,42.45,315553056.4
Middle East,AI,1993-09-09,1913683.11,3177,1.2,114910.02,7.0,2.04,89.0,0.07,53.0,57.51,315553056.4
Middle East,AI,1993-10-11,1762025.48,3710,4.8,121058.19,14.0,1.26,63.0,0.09,87.0,62.62,319662335.65
Middle East,AI,1993-10-14,1739051.32,3161,1.3,176332.03,20.0,2.1,25.0,0.07,50.0,42.91,319662335.65
Middle East,AI,1993-10-26,869292.05,3546,3.7,47223.48,17.0,4.44,58.0,0.07,85.0,35.29,319662335.65
Middle East,AI,1993-10-27,747971.43,3352,1.8,82977.05,7.0,4.56,71.0,0.14,78.0,38.13,319662335.65
Middle East,AI,1993-11-01,623160.24,3442,1.8,15557.86,7.0,0.26,58.0,0.23,57.0,65.3,319662335.65
Middle East,AI,1993-11-13,147854.86,134,4.8,35856.87,24.0,1.4,45.0,0.11,63.0,67.64,319662335.65
Middle East,AI,1993-11-28,122565.92,2288,4.9,53421.49,19.0,4.05,16.0,0.27,90.0,44.85,319662335.65
Middle East,AI,1993-12-02,1368454.78,3172,3.6,136391.24,0.0,4.39,20.0,0.21,71.0,31.4,319662335.65
Middle East,AI,1993-12-04,338282.78,457,4.6,130030.02,14.0,3.81,18.0,0.12,87.0,68.59,319662335.65
Middle East,AI,1993-12-10,714491.37,4544,2.4,64065.5,18.0,4.85,28.0,0.15,63.0,65.75,319662335.65
Middle East,AI,1993-12-20,623925.0,1324,4.5,194129.52,9.0,2.67,16.0,0.27,88.0,68.35,319662335.65
Middle East,AI,1993-12-23,752689.27,3948,2.6,105884.47,15.0,0.8,68.0,0.29,73.0,67.42,319662335.65
Middle East,AI,1993-12-28,849864.23,2644,2.0,173528.64,15.0,0.92,63.0,0.25,84.0,54.73,319662335.65
Middle East,AI,1993-12-30,1859168.84,846,1.4,153122.43,23.0,0.34,43.0,0.17,84.0,54.87,319662335.65
Middle East,AI,1994-01-03,394283.59,4567,1.0,22853.83,10.0,4.8,70.0,0.23,58.0,41.0,300633390.12
Middle East,AI,1994-01-06,1102539.39,3712,2.4,68626.93,4.0,0.87,38.0,0.18,80.0,39.34,300633390.12
Middle East,AI,1994-01-09,1363861.36,1651,4.2,194947.18,1.0,1.76,64.0,0.12,62.0,49.21,300633390.12
Middle East,AI,1994-02-02,256797.38,3830,1.2,70804.53,12.0,4.72,72.0,0.24,87.0,47.85,300633390.12
Middle East,AI,1994-02-09,1169173.69,3093,2.1,14842.3,12.0,4.14,14.0,0.27,72.0,36.38,300633390.12
Middle East,AI,1994-02-18,766216.51,2317,1.7,92621.41,14.0,4.62,37.0,0.09,52.0,58.26,300633390.12
Middle East,AI,1994-03-03,496347.9,4319,2.8,189983.27,19.0,4.23,44.0,0.23,74.0,65.56,300633390.12
Middle East,AI,1994-03-19,435458.95,1994,1.0,84218.01,18.0,2.26,37.0,0.28,58.0,36.4,300633390.12
Middle East,AI,1994-03-22,1437720.66,2304,2.6,92118.34,3.0,3.3,52.0,0.09,74.0,42.45,300633390.12
Middle East,AI,1994-04-02,1859765.2,3729,1.7,56773.4,15.0,0.14,23.0,0.1,89.0,66.2,342955507.98
Middle East,AI,1994-04-03,428108.93,1539,1.5,81746.71,9.0,2.2,13.0,0.09,83.0,57.15,342955507.98
Middle East,AI,1994-04-04,3438987.38,4025,3.05,131345.41999999998,10.0,0.9949999999999999,35.0,0.175,67.0,47.075,685911015.96
Middle East,AI,1994-04-07,645362.92,3906,4.3,91376.95,20.0,4.15,70.0,0.27,72.0,48.87,342955507.98
Middle East,AI,1994-04-12,470702.42,1248,1.6,175519.2,12.0,3.14,28.0,0.27,87.0,45.69,342955507.98
Middle East,AI,1994-04-19,1547121.13,2195,2.3,150802.45,0.0,3.37,21.0,0.27,69.0,59.78,342955507.98
Middle East,AI,1994-04-20,472099.24,1431,2.5,132145.25,20.0,3.12,12.0,0.19,86.0,31.74,342955507.98
Middle East,AI,1994-05-01,1241448.86,2227,1.1,80265.43,9.0,4.02,36.0,0.27,57.0,51.36,342955507.98
Middle East,AI,1994-05-06,721980.72,2876,3.9,102162.84,5.0,4.17,86.0,0.15,58.0,60.05,342955507.98
Middle East,AI,1994-05-11,1342952.26,3333,1.8,88693.65,12.0,1.26,26.0,0.05,71.0,45.68,342955507.98
Middle East,AI,1994-05-14,614737.98,1976,2.5,177354.84,1.0,4.07,63.0,0.09,62.0,35.85,342955507.98
Middle East,AI,1994-05-29,1204316.76,3754,4.3,162709.35,25.0,3.83,72.0,0.06,90.0,57.66,342955507.98
Middle East,AI,1994-06-03,754752.18,2228,3.7,110928.28,15.0,2.86,73.0,0.26,82.0,69.22,342955507.98
Middle East,AI,1994-06-19,1399716.96,485,2.4,56133.71,8.0,4.75,79.0,0.21,67.0,30.11,342955507.98
Middle East,AI,1994-06-24,203710.32,4584,4.3,61897.47,12.0,0.14,29.0,0.29,82.0,36.88,342955507.98
Middle East,AI,1994-07-17,1600963.17,1659,2.0,172266.37,1.0,4.11,35.0,0.17,76.0,65.35,368159270.01
Middle East,AI,1994-07-21,1151858.35,3397,2.6,38500.35,11.0,4.11,33.0,0.26,76.0,51.62,368159270.01
Middle East,AI,1994-08-06,614106.01,4595,2.9,18051.22,17.0,1.57,87.0,0.25,56.0,50.87,368159270.01
Middle East,AI,1994-08-17,138918.64,1629,2.3,93920.46,12.0,2.35,19.0,0.23,88.0,55.43,368159270.01
Middle East,AI,1994-08-18,914488.96,3237,2.9,195754.99,8.0,4.44,28.0,0.28,83.0,66.24,368159270.01
Middle East,AI,1994-09-13,1083895.24,2936,2.2,50276.41,6.0,5.0,20.0,0.18,70.0,55.35,368159270.01
Middle East,AI,1994-10-01,1218206.95,1568,4.3,169193.42,18.0,3.53,25.0,0.09,64.0,46.12,320012458.93
Middle East,AI,1994-11-05,351797.12,1737,4.5,162271.66,9.0,3.42,73.0,0.2,63.0,68.92,320012458.93
Middle East,AI,1994-11-19,108726.5,2838,1.8,12677.95,4.0,3.87,35.0,0.19,64.0,61.72,320012458.93
Middle East,AI,1994-12-13,729803.29,938,2.9,114766.83,2.0,3.89,24.0,0.16,71.0,66.59,320012458.93
Middle East,AI,1994-12-18,569764.18,4208,2.2,104681.57,8.0,1.32,41.0,0.11,54.0,59.29,320012458.93
Middle East,AI,1994-12-20,1549185.52,2761,1.2,28172.15,14.0,3.12,84.0,0.06,81.0,51.24,320012458.93
Middle East,AI,1994-12-21,1745565.92,2602,1.5,126124.16,15.0,0.61,45.0,0.11,78.0,43.36,320012458.93
Middle East,AI,1995-01-08,1981554.43,4273,2.0,172122.03,12.0,2.05,32.0,0.23,57.0,63.62,325489049.07
Middle East,AI,1995-02-02,1744811.24,1733,3.2,90836.57,22.0,4.49,72.0,0.26,68.0,41.94,325489049.07
Middle East,AI,1995-02-23,731732.0,669,3.4,57559.76,24.0,2.53,54.0,0.23,62.0,52.21,325489049.07
Middle East,AI,1995-03-02,1882101.15,3617,2.8,45581.89,11.0,2.53,30.0,0.1,76.0,40.76,325489049.07
Middle East,AI,1995-03-11,1691495.03,1774,3.1,101953.87,14.0,3.65,16.0,0.08,87.0,35.82,325489049.07
Middle East,AI,1995-03-15,1513523.87,2194,2.4,176278.44,17.0,1.16,62.0,0.09,62.0,58.39,325489049.07
Middle East,AI,1995-03-18,511164.61,2169,4.6,69458.7,21.0,2.67,44.0,0.16,63.0,48.6,325489049.07
Middle East,AI,1995-03-19,263451.48,788,2.3,143784.9,9.0,0.91,60.0,0.09,83.0,38.9,325489049.07
Middle East,AI,1995-03-30,424331.77,3274,3.5,76133.68,6.0,3.94,54.0,0.06,51.0,30.81,325489049.07
Middle East,AI,1995-04-02,534724.52,3458,4.4,140309.78,4.0,3.11,62.0,0.19,80.0,61.89,315874893.32
Middle East,AI,1995-04-17,386675.87,4828,2.5,146382.18,1.0,1.79,10.0,0.29,82.0,52.74,315874893.32
Middle East,AI,1995-04-21,55665.16,3114,3.3,84969.42,2.0,1.2,85.0,0.16,61.0,49.35,315874893.32
Middle East,AI,1995-04-23,1389851.66,1663,3.0,58271.49,15.0,1.35,80.0,0.07,58.0,44.02,315874893.32
Middle East,AI,1995-05-08,1510960.26,2310,4.5,89121.74,10.0,1.34,90.0,0.09,86.0,39.48,315874893.32
Middle East,AI,1995-05-17,687013.36,2912,4.9,97957.33,5.0,1.85,16.0,0.24,70.0,36.96,315874893.32
Middle East,AI,1995-05-19,3350366.9699999997,1737,2.7,307826.67,18.5,3.54,74.5,0.14500000000000002,60.0,49.349999999999994,631749786.64
Middle East,AI,1995-05-22,796891.9,918,1.2,170264.92,1.0,3.47,51.0,0.21,79.0,52.03,315874893.32
Middle East,AI,1995-05-26,1770825.82,2081,4.8,78372.17,11.0,2.78,50.0,0.25,85.0,39.79,315874893.32
Middle East,AI,1995-05-29,1691711.7,2249,3.2,84090.66,14.0,2.41,90.0,0.21,57.0,37.95,315874893.32
Middle East,AI,1995-06-18,419588.85,1917,2.6,120649.12,21.0,4.51,79.0,0.15,70.0,48.1,315874893.32
Middle East,AI,1995-06-24,494310.87,4540,3.3,67760.62,8.0,3.86,28.0,0.07,78.0,39.86,315874893.32
Middle East,AI,1995-07-13,1093057.83,4442,3.7,181927.62,16.0,4.01,89.0,0.28,53.0,52.4,323268964.24
Middle East,AI,1995-07-25,997545.46,4750,3.3,19934.16,1.0,4.72,19.0,0.15,58.0,45.74,323268964.24
Middle East,AI,1995-07-27,1657795.71,4866,2.6,170882.73,11.0,1.16,16.0,0.27,70.0,39.76,323268964.24
Middle East,AI,1995-08-08,990250.02,3237,3.5,108858.34,10.0,3.15,37.0,0.06,59.0,47.32,323268964.24
Middle East,AI,1995-08-10,150300.7,2608,1.0,110137.63,20.0,2.08,67.0,0.12,57.0,58.39,323268964.24
Middle East,AI,1995-08-12,854482.81,228,3.3,148558.55,24.0,0.21,80.0,0.23,81.0,57.66,323268964.24
Middle East,AI,1995-08-16,1997286.42,699,4.0,32406.3,18.0,0.12,78.0,0.25,63.0,50.35,323268964.24
Middle East,AI,1995-08-20,239620.82,2860,1.7,116054.25,12.0,3.73,48.0,0.09,66.0,31.28,323268964.24
Middle East,AI,1995-08-31,113526.1,1579,2.6,96188.78,17.0,0.1,45.0,0.25,59.0,36.24,323268964.24
