Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
Middle East,Data Center,1993-04-05,1922549.57,3696,1.1,96418.26,6.0,3.38,40.0,0.11,60.0,52.92,275501869.91
Middle East,Data Center,1993-04-09,1292136.21,289,3.3,135427.87,19.0,0.61,29.0,0.1,78.0,37.13,275501869.91
Middle East,Data Center,1993-05-10,813594.94,2381,4.1,15198.4,7.0,2.76,72.0,0.06,79.0,60.86,275501869.91
Middle East,Data Center,1993-05-21,1683402.67,4450,3.25,191371.24,9.0,3.0549999999999997,38.0,0.18,82.5,41.025,551003739.82
Middle East,Data Center,1993-06-08,1213733.59,1315,2.3,185333.56,17.0,3.76,59.0,0.29,51.0,62.73,275501869.91
Middle East,Data Center,1993-06-09,651219.16,1509,2.4,161576.85,20.0,3.19,34.0,0.08,62.0,58.72,275501869.91
Middle East,Data Center,1993-06-15,843077.99,887,1.1,145396.98,6.0,1.03,77.0,0.07,62.0,39.13,275501869.91
Middle East,Data Center,1993-06-27,108262.05,4751,2.6,148489.63,22.0,3.86,34.0,0.22,69.0,67.97,275501869.91
Middle East,Data Center,1993-07-17,1715799.98,4688,4.9,63490.96,0.0,4.3,74.0,0.1,73.0,69.36,315553056.4
Middle East,Data Center,1993-08-02,1983997.27,3761,4.5,134515.28,22.0,2.96,76.0,0.23,68.0,49.88,315553056.4
Middle East,Data Center,1993-08-03,1012048.49,3999,3.7,77685.01,14.0,0.62,18.0,0.12,55.0,53.14,315553056.4
Middle East,Data Center,1993-08-06,208742.35,763,1.8,91183.5,25.0,0.63,17.0,0.25,52.0,47.81,315553056.4
Middle East,Data Center,1993-08-11,622598.95,2107,3.0,168182.89,22.0,2.19,74.0,0.14,85.0,63.39,315553056.4
Middle East,Data Center,1993-08-23,646769.61,2965,4.7,164671.92,7.0,1.58,44.0,0.28,64.0,38.57,315553056.4
Middle East,Data Center,1993-09-04,320505.79,1740,1.5,181840.17,15.0,4.66,25.0,0.23,88.0,33.91,315553056.4
Middle East,Data Center,1993-09-06,962003.36,1319,4.3,153835.82,23.0,4.65,61.0,0.26,56.0,38.23,315553056.4
Middle East,Data Center,1993-09-14,2721693.75,4568,1.75,303951.26,12.5,4.555,48.5,0.21500000000000002,68.5,48.175,631106112.8
Middle East,Data Center,1993-09-17,1502257.76,259,3.4,133199.47,19.0,2.66,52.0,0.07,81.0,34.87,315553056.4
Middle East,Data Center,1993-10-04,976159.47,2347,4.2,59743.35,15.0,2.96,42.0,0.16,74.0,48.48,319662335.65
Middle East,Data Center,1993-10-12,1828698.98,1894,1.2,28562.1,16.0,1.98,41.0,0.06,88.0,38.14,319662335.65
Middle East,Data Center,1993-10-17,3586894.9400000004,4270,3.95,152184.75,14.5,0.99,50.0,0.2,68.0,59.864999999999995,639324671.3
Middle East,Data Center,1993-10-22,1406996.07,4101,3.8,10470.11,18.0,4.9,76.0,0.15,70.0,44.48,319662335.65
Middle East,Data Center,1993-11-03,1295414.97,2561,2.3,83330.94,16.0,4.72,64.0,0.27,74.0,57.53,319662335.65
Middle East,Data Center,1993-11-07,1841816.98,1049,4.2,73959.65,8.0,1.76,68.0,0.06,69.0,40.78,319662335.65
Middle East,Data Center,1993-11-13,737689.21,4019,4.5,32528.9,16.0,1.8,85.0,0.12,70.0,48.98,319662335.65
Middle East,Data Center,1993-11-14,1679726.06,4978,3.8,168892.27,20.0,0.18,80.0,0.06,53.0,53.91,319662335.65
Middle East,Data Center,1993-11-25,95566.11,1048,2.1,94520.39,19.0,4.48,89.0,0.22,81.0,61.53,319662335.65
Middle East,Data Center,1993-11-26,776884.21,294,3.7,95252.72,20.0,1.66,72.0,0.15,82.0,56.31,319662335.65
Middle East,Data Center,1993-12-10,842758.35,1062,1.6,159424.52,19.0,3.36,83.0,0.25,85.0,64.73,319662335.65
Middle East,Data Center,1993-12-19,1201486.22,126,3.2,117402.88,15.0,0.89,75.0,0.27,82.0,41.13,319662335.65
Middle East,Data Center,1993-12-26,879720.68,1207,3.7,86816.09,8.0,0.49,40.0,0.12,78.0,44.13,319662335.65
Middle East,Data Center,1993-12-29,498563.67,1351,1.7,112579.81,21.0,1.02,90.0,0.07,84.0,41.0,319662335.65
Middle East,Data Center,1994-01-08,1944197.06,3890,2.5,27633.11,15.0,3.54,73.0,0.06,58.0,30.5,300633390.12
Middle East,Data Center,1994-01-10,1778794.16,1227,1.3,134706.28,17.0,2.37,26.0,0.14,74.0,42.11,300633390.12
Middle East,Data Center,1994-01-12,1301148.91,2346,3.9,120233.47,1.0,3.36,29.0,0.06,58.0,34.95,300633390.12
Middle East,Data Center,1994-01-13,3085258.01,3077,2.95,73423.3,12.5,3.51,60.0,0.18,65.5,62.629999999999995,601266780.24
Middle East,Data Center,1994-01-17,1205879.91,3332,3.1,41438.2,0.0,0.88,44.0,0.25,50.0,34.5,300633390.12
Middle East,Data Center,1994-01-18,1428343.23,1809,3.6,119651.75,25.0,3.46,59.0,0.22,60.0,67.71,300633390.12
Middle East,Data Center,1994-01-21,1346310.55,4279,4.2,25321.63,6.0,2.75,20.0,0.18,70.0,32.35,300633390.12
Middle East,Data Center,1994-02-02,813939.77,2451,3.5,136471.66,15.0,1.01,71.0,0.11,58.0,44.44,300633390.12
Middle East,Data Center,1994-02-08,235461.6,2563,4.2,49804.81,12.0,4.54,44.0,0.13,63.0,39.08,300633390.12
Middle East,Data Center,1994-02-11,1028199.01,3972,1.3,76354.47,3.0,0.34,83.0,0.21,65.0,59.91,300633390.12
Middle East,Data Center,1994-02-16,1985163.76,768,4.1,80201.44,23.0,0.81,87.0,0.3,76.0,39.39,300633390.12
Middle East,Data Center,1994-02-17,78270.92,2926,1.6,89122.35,18.0,2.01,20.0,0.05,80.0,39.41,300633390.12
Middle East,Data Center,1994-02-24,1149062.4,3481,5.0,164598.62,5.0,2.17,22.0,0.13,59.0,47.86,300633390.12
Middle East,Data Center,1994-03-05,1124079.89,3880,2.3,84492.22,2.0,3.6,41.0,0.19,85.0,33.52,300633390.12
Middle East,Data Center,1994-03-07,1800088.62,172,2.8,192046.81,24.0,0.12,36.0,0.14,54.0,41.57,300633390.12
Middle East,Data Center,1994-03-09,832725.65,486,4.8,138196.03,1.0,2.0,15.0,0.16,55.0,32.29,300633390.12
Middle East,Data Center,1994-03-14,1046035.92,192,3.8,165946.72,13.0,4.57,76.0,0.12,52.0,40.54,300633390.12
Middle East,Data Center,1994-03-22,263286.7,2704,3.6,125711.98,8.0,2.92,30.0,0.21,77.0,49.84,300633390.12
Middle East,Data Center,1994-03-31,1424909.67,3258,1.3,73373.79,16.0,3.43,54.0,0.25,78.0,56.06,300633390.12
Middle East,Data Center,1994-04-04,1706854.82,1394,1.9,102447.05,0.0,2.31,25.0,0.27,53.0,34.78,342955507.98
Middle East,Data Center,1994-04-09,667189.37,3736,2.4,187388.28,18.0,3.96,29.0,0.14,72.0,54.06,342955507.98
Middle East,Data Center,1994-04-10,1154722.72,2275,4.9,177082.48,6.0,1.32,82.0,0.07,80.0,49.88,342955507.98
Middle East,Data Center,1994-04-11,1387235.45,4258,1.1,99098.69,0.0,3.66,54.0,0.18,59.0,36.08,342955507.98
Middle East,Data Center,1994-05-05,713261.79,1945,1.3,132258.99,1.0,0.28,56.0,0.29,87.0,61.71,342955507.98
Middle East,Data Center,1994-05-08,879501.73,1066,4.7,104496.41,16.0,4.78,86.0,0.19,86.0,38.87,342955507.98
Middle East,Data Center,1994-05-11,1973672.68,1317,4.8,70214.06,23.0,0.53,27.0,0.19,50.0,36.65,342955507.98
Middle East,Data Center,1994-05-19,1766204.57,4047,2.8,40685.23,3.0,3.08,50.0,0.17,62.0,54.92,342955507.98
Middle East,Data Center,1994-06-01,1292686.2,1960,4.4,100603.87,15.0,2.35,76.0,0.15,64.0,64.2,342955507.98
Middle East,Data Center,1994-06-03,350978.18,2800,2.6,84590.63,12.0,0.1,44.0,0.24,83.0,40.39,342955507.98
Middle East,Data Center,1994-06-12,1107084.27,4699,2.1,96761.76,5.0,3.63,81.0,0.29,85.0,43.29,342955507.98
Middle East,Data Center,1994-07-05,452300.41,2438,2.8,101291.95,7.0,3.52,72.0,0.05,83.0,31.14,368159270.01
Middle East,Data Center,1994-07-14,1855480.4,4731,3.0,75734.95,14.0,3.77,25.0,0.16,69.0,52.21,368159270.01
Middle East,Data Center,1994-07-23,1175091.33,3931,4.8,89874.97,11.0,2.39,62.0,0.23,75.0,65.87,368159270.01
Middle East,Data Center,1994-07-26,1054930.99,4173,4.6,167454.53,11.0,2.0,25.0,0.25,81.0,49.27,368159270.01
Middle East,Data Center,1994-08-15,840483.98,2679,1.2,129396.33,22.0,2.33,27.0,0.18,68.0,42.96,368159270.01
Middle East,Data Center,1994-08-17,1285530.38,428,3.5,29773.99,22.0,3.31,88.0,0.09,71.0,54.34,368159270.01
Middle East,Data Center,1994-08-18,1282536.13,2379,3.7,70297.85,23.0,1.01,62.0,0.27,75.0,59.27,368159270.01
Middle East,Data Center,1994-08-22,539928.31,1528,1.2,131175.34,5.0,0.49,19.0,0.06,57.0,53.97,368159270.01
Middle East,Data Center,1994-08-27,874906.13,1901,3.8,37842.03,21.0,3.69,25.0,0.08,83.0,36.13,368159270.01
Middle East,Data Center,1994-08-28,421820.93,4401,4.4,35864.28,21.0,0.92,18.0,0.25,77.0,60.91,368159270.01
Middle East,Data Center,1994-08-30,1566973.23,169,4.5,167712.02,19.0,4.27,12.0,0.14,70.0,61.5,368159270.01
Middle East,Data Center,1994-09-02,1627079.75,2087,2.9,160720.25,13.0,2.44,85.0,0.25,60.0,49.73,368159270.01
Middle East,Data Center,1994-09-09,1286241.37,2520,3.7,59896.15,18.0,2.73,22.0,0.17,75.0,48.59,368159270.01
Middle East,Data Center,1994-09-10,127274.11,2289,4.7,33106.51,6.0,3.7,57.0,0.16,83.0,36.29,368159270.01
Middle East,Data Center,1994-10-09,450563.3,904,3.9,73760.08,18.0,1.92,28.0,0.09,88.0,43.78,320012458.93
Middle East,Data Center,1994-10-26,1525282.08,4681,4.2,122888.73,8.0,1.62,42.0,0.24,62.0,39.51,320012458.93
Middle East,Data Center,1994-10-27,758271.34,2771,4.7,195895.93,4.0,2.18,12.0,0.23,65.0,36.04,320012458.93
Middle East,Data Center,1994-10-28,726854.84,4869,2.4,123054.44,25.0,3.0,56.0,0.21,79.0,51.87,320012458.93
Middle East,Data Center,1994-11-04,1957913.89,1140,2.5,56791.06,21.0,1.51,47.0,0.06,50.0,66.83,320012458.93
Middle East,Data Center,1994-11-14,715744.3,4097,2.4,175829.71,11.0,3.12,67.0,0.06,85.0,31.35,320012458.93
Middle East,Data Center,1994-11-17,1814963.36,3590,1.2,119137.58,15.0,0.75,40.0,0.05,71.0,60.17,320012458.93
Middle East,Data Center,1994-11-27,2487028.0,4759,3.05,75409.26000000001,16.5,1.915,35.5,0.26,63.0,55.035,640024917.86
Middle East,Data Center,1994-11-29,161588.95,2627,3.3,141164.73,2.0,4.3,55.0,0.2,78.0,41.87,320012458.93
Middle East,Data Center,1994-12-08,1593239.3,3368,3.6,102573.27,13.0,3.64,25.0,0.07,68.0,46.03,320012458.93
Middle East,Data Center,1994-12-10,1412927.47,2624,3.2,123108.77,10.0,1.06,42.0,0.19,53.0,35.61,320012458.93
Middle East,Data Center,1994-12-13,1940228.72,2170,1.9,115018.87,20.0,0.55,62.0,0.13,74.0,63.88,320012458.93
Middle East,Data Center,1994-12-16,1640853.78,4158,1.8,135679.22,20.0,2.2,31.0,0.23,59.0,52.07,320012458.93
Middle East,Data Center,1994-12-31,142385.21,4240,1.4,81872.32,12.0,4.64,47.0,0.13,73.0,43.47,320012458.93
Middle East,Data Center,1995-01-04,1439555.38,944,2.3,165985.93,9.0,4.11,62.0,0.16,61.0,39.16,325489049.07
Middle East,Data Center,1995-01-08,652534.0,2541,3.0,20762.98,18.0,3.44,51.0,0.27,81.0,60.87,325489049.07
Middle East,Data Center,1995-01-18,1329530.73,3498,1.6,93687.78,22.0,4.89,87.0,0.16,80.0,55.13,325489049.07
Middle East,Data Center,1995-01-25,1898131.04,1332,3.4,125122.28,0.0,3.28,32.0,0.13,86.0,60.67,325489049.07
Middle East,Data Center,1995-01-26,980464.01,1243,3.7,126277.47,2.0,1.05,29.0,0.23,64.0,40.05,325489049.07
Middle East,Data Center,1995-02-02,969046.56,2403,1.4,107569.85,13.0,1.36,16.0,0.26,62.0,39.36,325489049.07
Middle East,Data Center,1995-02-10,1927821.76,894,3.55,216855.1,9.0,0.525,47.0,0.22999999999999998,70.5,48.68,650978098.14
Middle East,Data Center,1995-02-15,1429912.22,2893,3.6,121910.31,20.0,0.3,80.0,0.17,72.0,50.7,325489049.07
Middle East,Data Center,1995-02-24,1774401.96,978,2.2,158531.49,17.0,0.52,19.0,0.19,82.0,32.8,325489049.07
Middle East,Data Center,1995-02-25,1517201.79,3290,5.0,25555.17,13.0,1.24,28.0,0.29,62.0,67.07,325489049.07
Middle East,Data Center,1995-03-02,58461.18,3716,4.9,94745.13,21.0,3.34,18.0,0.1,56.0,40.74,325489049.07
Middle East,Data Center,1995-03-09,1726436.24,1221,3.4,116379.5,10.0,0.76,57.0,0.25,58.0,56.42,325489049.07
Middle East,Data Center,1995-03-11,770260.69,4708,3.7,76441.86,18.0,4.71,32.0,0.25,90.0,54.22,325489049.07
Middle East,Data Center,1995-03-16,942741.13,2032,3.1,111144.19,8.0,2.3,82.0,0.09,90.0,38.94,325489049.07
Middle East,Data Center,1995-03-17,120626.64,498,1.7,49706.83,17.0,4.56,11.0,0.07,66.0,34.46,325489049.07
Middle East,Data Center,1995-03-27,1905043.54,648,4.3,188197.33,1.0,2.05,15.0,0.06,50.0,33.09,325489049.07
Middle East,Data Center,1995-04-02,475750.86,2155,4.0,29930.23,9.0,3.71,37.0,0.14,50.0,63.26,315874893.32
Middle East,Data Center,1995-04-04,1754887.82,3024,2.3,54668.71,22.0,1.91,50.0,0.25,61.0,36.71,315874893.32
Middle East,Data Center,1995-04-09,2272646.56,8272,2.3,312307.16000000003,9.0,1.665,34.5,0.14,77.0,64.205,631749786.64
Middle East,Data Center,1995-04-10,1194981.47,668,4.7,110773.12,20.0,1.59,16.0,0.08,81.0,39.0,315874893.32
Middle East,Data Center,1995-04-14,1639708.67,4005,3.6,103842.03,20.0,1.22,67.0,0.23,64.0,40.18,315874893.32
Middle East,Data Center,1995-04-16,1737285.32,1654,2.85,349286.83999999997,14.5,1.375,60.0,0.155,68.5,54.17,631749786.64
Middle East,Data Center,1995-05-01,973040.19,284,2.3,184446.03,12.0,4.91,30.0,0.24,64.0,67.33,315874893.32
Middle East,Data Center,1995-05-04,732111.71,3684,1.9,14945.02,2.0,3.3,16.0,0.19,54.0,44.63,315874893.32
Middle East,Data Center,1995-05-06,1708457.65,2961,3.7,168753.42,14.0,4.23,33.0,0.19,80.0,53.88,315874893.32
Middle East,Data Center,1995-05-08,1036228.69,3822,3.5,146632.26,14.0,3.42,43.0,0.22,68.0,63.68,315874893.32
Middle East,Data Center,1995-06-02,1009511.83,4081,1.2,71437.15,19.0,0.58,71.0,0.22,80.0,68.27,315874893.32
Middle East,Data Center,1995-06-30,1554654.07,3814,4.4,191510.97,15.0,0.43,39.0,0.07,84.0,56.68,315874893.32
Middle East,Data Center,1995-07-02,3409658.23,6755,2.466666666666667,366735.74,9.0,2.3866666666666667,38.333333333333336,0.18333333333333335,77.66666666666667,45.14333333333334,969806892.72
Middle East,Data Center,1995-07-09,312657.31,3724,2.2,181612.95,10.0,2.96,51.0,0.23,74.0,68.21,323268964.24
Middle East,Data Center,1995-07-10,444902.29,559,4.5,197705.78,1.0,3.17,38.0,0.26,86.0,48.81,323268964.24
Middle East,Data Center,1995-07-11,1051383.13,697,4.0,148851.52,18.0,3.27,30.0,0.22,82.0,37.97,323268964.24
