Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
Middle East,Gaming,1993-04-12,840196.88,482,3.9,113367.96,21.0,4.39,46.0,0.13,78.0,51.07,275501869.91
Middle East,Gaming,1993-04-16,1518732.17,3517,4.1,71438.69,20.0,3.87,35.0,0.06,67.0,48.83,275501869.91
Middle East,Gaming,1993-05-08,1545178.01,1490,2.6,92256.2,10.0,1.67,77.0,0.18,56.0,44.16,275501869.91
Middle East,Gaming,1993-05-14,705448.96,325,2.9,43567.43,1.0,3.05,20.0,0.13,53.0,56.39,275501869.91
Middle East,Gaming,1993-05-20,1057182.43,3585,3.6,28695.2,17.0,4.55,12.0,0.2,78.0,64.25,275501869.91
Middle East,Gaming,1993-05-21,1013370.88,186,2.9,104766.25,7.0,2.38,55.0,0.1,65.0,49.79,275501869.91
Middle East,Gaming,1993-05-28,231660.18,1713,2.3,109698.36,1.0,1.35,41.0,0.06,84.0,54.1,275501869.91
Middle East,Gaming,1993-05-30,1828789.21,4999,2.1,120608.72,12.0,3.48,75.0,0.15,67.0,59.63,275501869.91
Middle East,Gaming,1993-05-31,447206.8,3690,3.3,161701.88,6.0,1.08,87.0,0.08,51.0,53.46,275501869.91
Middle East,Gaming,1993-06-11,1774095.8,1058,2.5,125222.11,25.0,2.18,16.0,0.08,83.0,64.87,275501869.91
Middle East,Gaming,1993-06-12,1103466.27,1728,1.6,17632.28,15.0,0.92,72.0,0.27,68.0,61.42,275501869.91
Middle East,Gaming,1993-06-14,756242.39,1698,1.5,47998.49,14.0,2.53,84.0,0.14,57.0,31.5,275501869.91
Middle East,Gaming,1993-06-18,1977320.49,3936,1.5,162937.43,20.0,4.4,65.0,0.16,87.0,64.38,275501869.91
Middle East,Gaming,1993-07-04,1592976.25,1853,2.8,143795.77,7.0,2.81,69.0,0.18,61.0,62.01,315553056.4
Middle East,Gaming,1993-07-10,1231342.5,4237,3.0,48244.54,3.0,3.9,58.0,0.27,66.0,33.88,315553056.4
Middle East,Gaming,1993-07-15,1209100.6,4409,4.0,53636.88,11.0,1.6,39.0,0.23,69.0,43.18,315553056.4
Middle East,Gaming,1993-07-17,828642.42,2196,4.7,119618.95,21.0,0.9,37.0,0.18,75.0,31.05,315553056.4
Middle East,Gaming,1993-07-24,1626771.88,4439,2.5,131926.49,12.0,4.3,52.0,0.06,80.0,51.56,315553056.4
Middle East,Gaming,1993-07-26,1653305.49,3966,1.8,169816.35,10.0,0.59,17.0,0.11,80.0,39.83,315553056.4
Middle East,Gaming,1993-08-01,331504.57,3859,1.8,194598.44,12.0,0.41,37.0,0.1,67.0,31.05,315553056.4
Middle East,Gaming,1993-08-17,1320902.76,2648,4.6,55169.92,21.0,1.8,90.0,0.19,86.0,30.44,315553056.4
Middle East,Gaming,1993-08-24,1864968.49,1873,4.4,123860.7,13.0,4.27,15.0,0.25,82.0,63.05,315553056.4
Middle East,Gaming,1993-08-30,1787470.59,2011,2.3,187950.11,22.0,0.52,70.0,0.13,84.0,69.7,315553056.4
Middle East,Gaming,1993-08-31,506555.09,1489,3.9,111250.46,6.0,3.44,77.0,0.24,56.0,57.12,315553056.4
Middle East,Gaming,1993-09-09,1784116.86,1285,4.5,99717.34,6.0,2.34,76.0,0.29,64.0,68.81,315553056.4
Middle East,Gaming,1993-09-19,818984.85,1325,3.0,83795.63,20.0,1.09,78.0,0.16,68.0,33.79,315553056.4
Middle East,Gaming,1993-10-02,1835070.68,3681,1.6,33393.27,10.0,2.53,70.0,0.27,56.0,37.39,319662335.65
Middle East,Gaming,1993-10-04,1322421.91,3237,4.4,58673.34,1.0,4.31,83.0,0.12,79.0,55.39,319662335.65
Middle East,Gaming,1993-10-11,547782.67,4612,1.3,107229.16,3.0,0.33,90.0,0.06,68.0,66.21,319662335.65
Middle East,Gaming,1993-10-16,1153752.1,4565,2.3,127658.6,25.0,1.67,77.0,0.15,54.0,63.84,319662335.65
Middle East,Gaming,1993-10-17,515066.05,4838,2.4,99303.64,10.0,0.23,35.0,0.1,50.0,36.35,319662335.65
Middle East,Gaming,1993-10-21,1011445.97,1666,1.8,77627.83,24.0,3.71,59.0,0.27,74.0,67.76,319662335.65
Middle East,Gaming,1993-10-26,229830.62,4640,2.4,53091.05,16.0,4.07,11.0,0.12,52.0,57.05,319662335.65
Middle East,Gaming,1993-11-15,1155011.08,4780,2.3,50225.96,5.0,2.61,24.0,0.24,56.0,67.43,319662335.65
Middle East,Gaming,1993-11-23,1462286.6,3791,4.7,176823.55,3.0,4.33,90.0,0.21,64.0,30.86,319662335.65
Middle East,Gaming,1993-12-06,809401.57,1822,2.9,93051.02,8.0,4.95,34.0,0.28,59.0,46.56,319662335.65
Middle East,Gaming,1993-12-15,1122517.23,4874,3.3,181725.47,4.0,3.98,37.0,0.14,51.0,55.18,319662335.65
Middle East,Gaming,1993-12-16,1366435.41,1227,3.6,118458.05,1.0,4.64,88.0,0.16,74.0,37.81,319662335.65
Middle East,Gaming,1993-12-20,1261630.18,3660,2.2,97321.24,3.0,0.4,51.0,0.2,57.0,47.9,319662335.65
Middle East,Gaming,1993-12-24,333188.92,1610,1.8,197688.04,1.0,2.18,61.0,0.17,59.0,43.99,319662335.65
