Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
Middle East,OEM,1993-04-07,515392.36,548,4.2,125905.29,22.0,2.69,60.0,0.09,83.0,53.52,275501869.91
Middle East,OEM,1993-04-08,1780778.15,4256,2.7,35050.85,24.0,0.55,81.0,0.15,53.0,33.05,275501869.91
Middle East,OEM,1993-04-10,1269754.36,7371,2.35,177163.66999999998,10.0,4.13,65.5,0.115,79.5,60.84,551003739.82
Middle East,OEM,1993-04-16,93827.76,287,3.2,119601.55,15.0,1.82,30.0,0.2,87.0,54.6,275501869.91
Middle East,OEM,1993-04-22,150498.17,3571,4.6,15599.78,24.0,2.89,77.0,0.22,64.0,30.59,275501869.91
Middle East,OEM,1993-04-25,1137062.34,200,1.9,130100.16,9.0,1.05,58.0,0.3,80.0,62.94,275501869.91
Middle East,OEM,1993-04-29,1655952.03,4805,4.3,184091.04,17.0,1.84,26.0,0.2,52.0,65.62,275501869.91
Middle East,OEM,1993-05-04,1488010.06,4377,2.5,124756.04,6.0,1.84,63.0,0.18,60.0,48.64,275501869.91
Middle East,OEM,1993-05-17,1789345.44,2233,4.4,88626.88,10.0,2.79,74.0,0.18,68.0,52.38,275501869.91
Middle East,OEM,1993-06-29,1336305.1,4584,3.0,50556.2,15.0,1.93,65.0,0.3,78.0,41.67,275501869.91
Middle East,OEM,1993-07-01,703249.86,1216,3.5,171792.01,24.0,4.11,57.0,0.28,59.0,48.58,315553056.4
Middle East,OEM,1993-07-27,487361.97,502,2.6,74088.17,5.0,3.05,57.0,0.26,64.0,57.49,315553056.4
Middle East,OEM,1993-08-03,1093088.16,4709,1.2,58128.93,10.0,3.59,43.0,0.21,75.0,33.03,315553056.4
Middle East,OEM,1993-08-09,582433.36,4102,3.6,104525.26,7.0,0.41,70.0,0.2,87.0,46.13,315553056.4
Middle East,OEM,1993-08-12,310843.57,2649,3.5,42274.57,23.0,1.07,22.0,0.22,84.0,64.45,315553056.4
Middle East,OEM,1993-08-15,270816.38,1089,2.2,159698.27,6.0,2.87,35.0,0.24,73.0,45.27,315553056.4
