Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
North America,AI,1993-04-14,731242.12,4424,3.2,13490.42,23.0,2.16,21.0,0.22,61.0,46.84,275501869.91
North America,AI,1993-04-23,918801.1,2056,2.8,116786.52,23.0,0.16,90.0,0.21,71.0,31.98,275501869.91
North America,AI,1993-04-30,826235.56,1341,2.8,194903.87,24.0,0.71,55.0,0.18,52.0,44.76,275501869.91
North America,AI,1993-05-08,1624630.65,4118,1.0,197522.32,0.0,0.38,77.0,0.14,62.0,34.42,275501869.91
North America,AI,1993-05-15,1115922.94,3323,3.5,102848.48,0.0,3.61,59.0,0.25,90.0,40.31,275501869.91
North America,AI,1993-05-17,407373.69,2291,2.5,171468.19,4.0,3.83,88.0,0.07,77.0,45.13,275501869.91
North America,AI,1993-05-26,718238.25,4542,3.0,48210.31,15.0,1.68,12.0,0.17,52.0,51.51,275501869.91
North America,AI,1993-06-02,873400.85,1623,2.3,195084.02,23.0,3.46,43.0,0.07,82.0,41.41,275501869.91
North America,AI,1993-06-15,884955.95,2517,2.7,168245.52,13.0,0.94,80.0,0.19,76.0,30.6,275501869.91
North America,AI,1993-06-17,977423.41,2681,1.9,56061.22,6.0,2.39,36.0,0.08,84.0,48.4,275501869.91
North America,AI,1993-06-19,1550143.78,3963,4.1,176845.66,14.0,0.11,44.0,0.06,53.0,40.91,275501869.91
North America,AI,1993-06-21,435419.62,3577,3.4,98236.15,21.0,3.26,20.0,0.14,81.0,50.98,275501869.91
North America,AI,1993-07-09,2813513.51,2675,2.9,140077.19,8.5,1.675,43.5,0.10500000000000001,77.5,40.35,631106112.8
North America,AI,1993-07-12,55356.13,2856,2.4,13586.43,1.0,3.82,77.0,0.05,50.0,59.58,315553056.4
North America,AI,1993-07-19,505517.91,3957,3.5,159628.54,14.0,1.69,62.0,0.16,61.0,36.63,315553056.4
North America,AI,1993-07-23,525447.27,132,4.2,178684.3,22.0,1.33,67.0,0.2,79.0,48.47,315553056.4
North America,AI,1993-07-28,310465.34,2192,1.6,86640.58,21.0,4.15,18.0,0.13,54.0,47.09,315553056.4
North America,AI,1993-08-09,791600.06,4960,3.9,23340.77,10.0,1.68,71.0,0.12,75.0,59.08,315553056.4
North America,AI,1993-08-17,377258.07,2604,3.5,113780.82,22.0,1.19,29.0,0.16,55.0,52.95,315553056.4
North America,AI,1993-08-31,662307.18,272,2.6,48624.52,25.0,4.37,60.0,0.29,80.0,55.55,315553056.4
North America,AI,1993-09-10,601877.99,917,4.2,162377.73,20.0,0.54,46.0,0.19,61.0,48.53,315553056.4
North America,AI,1993-09-11,236065.27,1948,2.7,142504.32,23.0,2.4,83.0,0.21,89.0,55.74,315553056.4
North America,AI,1993-09-16,612190.6,4526,4.9,11718.53,22.0,3.05,59.0,0.24,65.0,41.14,315553056.4
North America,AI,1993-10-02,425195.57,2002,4.9,15316.52,4.0,2.63,58.0,0.26,83.0,56.2,319662335.65
North America,AI,1993-10-16,1230340.12,974,1.2,51938.71,11.0,1.47,21.0,0.29,53.0,49.32,319662335.65
North America,AI,1993-10-31,1268184.67,1331,4.3,12705.37,19.0,1.38,53.0,0.19,61.0,57.45,319662335.65
North America,AI,1993-11-01,377204.22,2741,1.9,158284.77,25.0,4.36,87.0,0.16,80.0,62.08,319662335.65
North America,AI,1993-11-02,70564.35,1178,4.8,155320.67,15.0,1.55,40.0,0.27,57.0,48.25,319662335.65
North America,AI,1993-11-13,1767653.29,4471,4.2,43528.78,18.0,3.8,46.0,0.17,79.0,56.23,319662335.65
North America,AI,1993-11-27,1752011.73,2311,2.0,178557.63,15.0,2.82,28.0,0.17,89.0,33.8,319662335.65
North America,AI,1993-12-07,59354.63,2411,4.0,28397.14,23.0,2.9,87.0,0.18,87.0,50.05,319662335.65
North America,AI,1993-12-12,1506499.63,1864,4.4,129261.21,5.0,2.19,73.0,0.21,90.0,45.51,319662335.65
North America,AI,1993-12-21,1382754.61,2421,4.4,116637.29,17.0,2.92,25.0,0.09,76.0,39.79,319662335.65
North America,AI,1993-12-23,1493177.93,732,4.7,132357.47,22.0,4.73,83.0,0.09,78.0,57.4,319662335.65
North America,AI,1993-12-25,608313.0,1862,1.3,153637.23,4.0,1.16,60.0,0.27,86.0,35.51,319662335.65
North America,AI,1994-01-01,2693151.4699999997,7656,2.15,257228.65,18.5,0.5599999999999999,57.5,0.19,73.5,39.5,601266780.24
North America,AI,1994-01-13,618868.72,620,3.5,78646.88,25.0,1.47,60.0,0.16,60.0,44.84,300633390.12
North America,AI,1994-01-26,2218978.96,3998,1.8,85064.12,12.0,1.65,26.0,0.14500000000000002,68.5,41.935,601266780.24
North America,AI,1994-02-11,2757947.8899999997,5772,2.95,265985.08,16.0,2.08,27.0,0.16499999999999998,68.0,33.375,601266780.24
North America,AI,1994-03-02,327917.68,4765,3.1,148568.5,15.0,0.77,29.0,0.13,60.0,46.88,300633390.12
North America,AI,1994-03-07,1552087.6,1323,2.1,177233.73,3.0,2.86,36.0,0.05,86.0,39.16,300633390.12
North America,AI,1994-03-15,684483.11,259,2.5,42195.55,23.0,3.18,66.0,0.27,72.0,41.91,300633390.12
North America,AI,1994-03-23,1388516.64,1948,4.7,109581.81,25.0,0.31,18.0,0.15,81.0,50.95,300633390.12
North America,AI,1994-03-28,1913800.28,1014,1.7,15515.15,14.0,3.37,88.0,0.21,84.0,56.39,300633390.12
North America,AI,1994-03-31,1375853.6,442,1.8,79750.5,13.0,4.29,70.0,0.07,64.0,66.92,300633390.12
North America,AI,1994-04-22,350184.75,3089,4.8,193642.57,20.0,0.95,43.0,0.24,83.0,50.93,342955507.98
North America,AI,1994-04-25,836746.86,2037,1.9,30759.45,7.0,2.13,11.0,0.06,76.0,55.38,342955507.98
North America,AI,1994-05-05,410001.66,4211,1.2,29887.78,18.0,1.4,66.0,0.1,51.0,55.73,342955507.98
North America,AI,1994-05-06,882491.25,1542,1.4,16502.97,2.0,2.63,56.0,0.21,65.0,63.1,342955507.98
North America,AI,1994-05-09,366714.25,4049,1.2,103960.87,13.0,1.97,66.0,0.15,51.0,56.88,342955507.98
North America,AI,1994-05-15,1024568.95,2915,3.5,45949.04,6.0,0.5,24.0,0.13,59.0,50.45,342955507.98
North America,AI,1994-05-16,813259.38,1290,4.3,173072.73,16.0,4.0,44.0,0.13,70.0,48.06,342955507.98
North America,AI,1994-05-20,1926943.11,4498,2.2,81859.32,0.0,3.62,60.0,0.13,50.0,42.05,342955507.98
North America,AI,1994-06-14,536703.38,3428,4.7,136186.15,24.0,4.98,48.0,0.28,82.0,59.8,342955507.98
North America,AI,1994-06-21,1751063.95,2859,2.5,182429.74,14.0,0.14,53.0,0.27,75.0,68.07,342955507.98
North America,AI,1994-06-28,1819395.11,1376,4.5,56081.56,23.0,0.3,86.0,0.15,61.0,50.04,342955507.98
North America,AI,1994-07-22,1193268.49,312,3.7,57722.66,16.0,2.1,50.0,0.16,72.0,60.67,368159270.01
North America,AI,1994-07-30,996538.38,757,4.0,116112.16,24.0,1.79,10.0,0.09,51.0,60.06,368159270.01
North America,AI,1994-08-13,630963.64,2506,1.6,125875.61,7.0,0.11,72.0,0.21,76.0,34.09,368159270.01
North America,AI,1994-08-20,1331402.74,407,1.5,56061.19,11.0,0.61,12.0,0.1,57.0,32.2,368159270.01
North America,AI,1994-09-11,1345121.83,3706,1.7,161873.08,10.0,0.48,90.0,0.11,89.0,40.66,368159270.01
North America,AI,1994-09-13,857164.27,3014,1.5,139821.26,24.0,3.2,51.0,0.12,69.0,58.26,368159270.01
North America,AI,1994-09-14,1893181.0899999999,2517,2.2,233114.44,20.0,3.255,56.5,0.07500000000000001,68.0,38.475,736318540.02
North America,AI,1994-09-16,457852.58,2814,2.2,161298.14,14.0,2.03,33.0,0.06,80.0,63.68,368159270.01
North America,AI,1994-09-18,1887489.5,4438,4.6,108474.01,22.0,2.36,50.0,0.12,84.0,58.94,368159270.01
North America,AI,1994-09-21,1824737.42,972,4.5,146563.33,14.0,3.5,10.0,0.13,67.0,58.6,368159270.01
North America,AI,1994-10-01,400326.79,2783,2.6,121379.79,5.0,4.86,29.0,0.12,56.0,61.37,320012458.93
North America,AI,1994-10-05,1149580.38,374,4.4,162308.14,1.0,4.24,52.0,0.06,79.0,55.07,320012458.93
North America,AI,1994-10-16,2873904.8899999997,2751,3.1,233460.49,9.0,1.375,50.5,0.08499999999999999,58.0,62.595,640024917.86
North America,AI,1994-10-18,786803.22,3091,2.7,163022.94,13.0,2.56,12.0,0.21,86.0,44.5,320012458.93
North America,AI,1994-10-20,1270618.73,2826,2.6,165870.48,25.0,1.47,15.0,0.14,68.0,39.0,320012458.93
North America,AI,1994-10-24,595204.5,2038,3.5,49060.86,8.0,0.95,76.0,0.17,64.0,45.99,320012458.93
