Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
North America,Data Center,1993-04-10,523883.47,1780,3.6,12036.03,11.0,2.61,64.0,0.1,69.0,30.39,275501869.91
North America,Data Center,1993-04-12,555500.95,3690,4.3,94383.96,10.0,1.87,54.0,0.15,85.0,34.86,275501869.91
North America,Data Center,1993-04-19,1105532.03,1655,5.0,139413.62,6.0,1.74,31.0,0.21,78.0,37.37,275501869.91
North America,Data Center,1993-04-23,1616431.6,136,3.9,172563.59,24.0,0.29,41.0,0.22,72.0,31.12,275501869.91
North America,Data Center,1993-05-17,1841859.25,2400,1.7,125469.27,23.0,2.89,61.0,0.15,54.0,35.32,275501869.91
North America,Data Center,1993-05-18,1113843.4,3579,1.8,113203.56,14.0,0.92,70.0,0.19,63.0,38.69,275501869.91
North America,Data Center,1993-05-19,1696337.14,645,1.7,155056.06,10.0,1.86,71.0,0.24,69.0,31.41,275501869.91
North America,Data Center,1993-05-26,269056.22,1822,3.2,56829.31,3.0,2.0,32.0,0.25,63.0,42.09,275501869.91
North America,Data Center,1993-05-30,1755338.32,815,4.1,58533.82,2.0,2.75,82.0,0.19,58.0,66.3,275501869.91
North America,Data Center,1993-06-03,1366720.35,1650,4.2,188705.17,13.0,4.84,11.0,0.24,83.0,54.28,275501869.91
North America,Data Center,1993-06-26,468332.18,684,2.1,112510.97,1.0,3.69,24.0,0.27,88.0,30.77,275501869.91
North America,Data Center,1993-07-01,377765.52,3900,3.5,184638.96,17.0,3.55,48.0,0.13,71.0,54.41,315553056.4
North America,Data Center,1993-07-17,368721.09,1590,4.3,59476.71,16.0,1.09,42.0,0.09,87.0,33.62,315553056.4
North America,Data Center,1993-07-23,770300.43,4914,4.5,62463.79,12.0,1.63,11.0,0.2,87.0,49.29,315553056.4
North America,Data Center,1993-08-07,1612078.95,3006,4.3,155274.72,22.0,2.36,72.0,0.15,51.0,54.6,315553056.4
North America,Data Center,1993-08-08,1303351.89,4066,4.6,70447.44,18.0,1.16,79.0,0.08,79.0,40.32,315553056.4
North America,Data Center,1993-08-11,1512118.89,3308,1.9,180709.15,9.0,1.66,29.0,0.05,74.0,40.07,315553056.4
North America,Data Center,1993-08-18,1996575.75,1338,2.6,31824.34,22.0,0.75,41.0,0.11,50.0,37.72,315553056.4
North America,Data Center,1993-08-19,1036130.18,106,4.2,50574.99,6.0,2.25,38.0,0.21,66.0,51.24,315553056.4
North America,Data Center,1993-08-23,1378927.09,2022,2.5,144688.86,9.0,3.77,72.0,0.22,73.0,42.43,315553056.4
North America,Data Center,1993-08-27,439315.39,220,1.7,131431.49,3.0,0.84,27.0,0.22,84.0,44.57,315553056.4
North America,Data Center,1993-08-30,793364.88,3502,2.6,63300.74,8.0,3.25,28.0,0.23,67.0,41.68,315553056.4
North America,Data Center,1993-09-22,1094450.61,4695,1.3,32174.14,24.0,1.4,88.0,0.25,88.0,49.58,315553056.4
North America,Data Center,1993-09-26,850955.56,2048,3.5,95582.62,0.0,1.72,33.0,0.19,67.0,55.81,315553056.4
North America,Data Center,1993-09-27,1069960.21,2831,1.8,105516.43,25.0,2.88,90.0,0.14,66.0,67.29,315553056.4
North America,Data Center,1993-10-05,1991960.66,5089,2.0999999999999996,231021.83000000002,8.5,2.165,37.0,0.11499999999999999,67.5,40.91,639324671.3
North America,Data Center,1993-10-19,618411.99,1820,4.0,139736.97,5.0,0.27,20.0,0.29,75.0,54.53,319662335.65
North America,Data Center,1993-10-29,424805.15,4550,2.0,163263.13,16.0,4.07,39.0,0.17,77.0,66.78,319662335.65
North America,Data Center,1993-11-13,1788648.2,4955,3.6,194238.68,18.0,3.85,83.0,0.11,87.0,32.04,319662335.65
North America,Data Center,1993-12-05,786230.5,569,4.7,39989.34,10.0,1.19,73.0,0.18,56.0,45.57,319662335.65
North America,Data Center,1993-12-23,1357811.35,2257,1.5,135906.27,6.0,4.02,10.0,0.14,87.0,32.67,319662335.65
North America,Data Center,1993-12-24,1870218.86,1114,3.5,89572.69,8.0,0.17,62.0,0.07,75.0,66.95,319662335.65
North America,Data Center,1993-12-27,91296.89,4846,2.9,67109.76,5.0,1.01,69.0,0.27,82.0,52.01,319662335.65
