Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
North America,Gaming,1993-04-07,454618.67,4011,4.7,149270.6,3.0,1.57,43.0,0.15,74.0,68.24,275501869.91
North America,Gaming,1993-04-10,1774456.78,4831,1.9,99323.38,10.0,0.33,15.0,0.11,67.0,62.2,275501869.91
North America,Gaming,1993-04-14,534809.43,1485,2.9,31830.76,18.0,3.14,52.0,0.11,65.0,50.78,275501869.91
North America,Gaming,1993-04-19,1082571.44,3971,4.2,184146.58,20.0,3.42,79.0,0.26,78.0,40.47,275501869.91
North America,Gaming,1993-04-26,100383.55,4933,1.7,80866.29,22.0,0.64,56.0,0.12,72.0,46.63,275501869.91
North America,Gaming,1993-05-21,1093387.85,3691,2.8,75601.29,9.0,1.68,53.0,0.17,87.0,67.95,275501869.91
North America,Gaming,1993-05-25,1172669.46,1497,3.2,71825.37,1.0,0.97,53.0,0.28,83.0,52.57,275501869.91
North America,Gaming,1993-05-26,541162.93,3164,3.3,61137.45,14.0,3.27,68.0,0.21,77.0,66.36,275501869.91
North America,Gaming,1993-05-28,1879369.1199999999,3408,2.5,213968.39,2.0,1.18,28.0,0.18,81.0,51.224999999999994,551003739.82
North America,Gaming,1993-06-02,1207580.06,3565,3.05,245242.99,13.5,1.97,64.0,0.24,77.0,57.09,551003739.82
North America,Gaming,1993-06-03,1423999.42,282,1.9,117982.05,3.0,2.4,70.0,0.06,55.0,51.29,275501869.91
North America,Gaming,1993-06-04,554462.77,1217,2.9,126041.6,2.0,0.28,43.0,0.3,80.0,62.3,275501869.91
North America,Gaming,1993-06-10,112066.6,1911,3.0,174379.72,1.0,3.61,29.0,0.11,51.0,59.41,275501869.91
North America,Gaming,1993-06-11,599406.67,4865,4.7,128162.27,18.0,2.07,39.0,0.23,64.0,33.11,275501869.91
North America,Gaming,1993-06-13,88917.82,1694,1.4,147057.75,23.0,4.07,17.0,0.2,86.0,57.5,275501869.91
North America,Gaming,1993-06-15,504560.91,4118,2.0,172371.39,14.0,4.58,25.0,0.05,72.0,64.49,275501869.91
North America,Gaming,1993-06-18,1037026.21,4468,3.9,11732.42,13.0,4.85,66.0,0.11,90.0,42.34,275501869.91
North America,Gaming,1993-06-23,946907.82,690,2.2,160693.67,21.0,1.36,10.0,0.09,86.0,55.13,275501869.91
North America,Gaming,1993-07-01,1199978.51,598,2.4,89345.25,4.0,4.25,64.0,0.25,71.0,59.84,315553056.4
North America,Gaming,1993-07-26,674209.99,2331,3.4,131647.58,11.0,0.6,64.0,0.17,70.0,66.62,315553056.4
North America,Gaming,1993-08-06,1577597.76,4014,3.4,129389.22,21.0,2.55,31.0,0.12,68.0,48.29,315553056.4
North America,Gaming,1993-08-11,267555.17,1289,1.6,137009.35,15.0,4.98,71.0,0.08,51.0,68.37,315553056.4
North America,Gaming,1993-09-06,1154461.66,2741,4.4,64562.7,2.0,1.7,34.0,0.29,90.0,40.28,315553056.4
North America,Gaming,1993-09-10,170481.35,3169,1.3,163916.88,15.0,0.24,65.0,0.19,79.0,51.97,315553056.4
North America,Gaming,1993-09-14,1509486.89,1883,2.5,87863.81,8.0,1.41,18.0,0.19,80.0,35.87,315553056.4
North America,Gaming,1993-09-15,1355632.0,558,3.0,181485.07,20.0,4.76,88.0,0.26,59.0,40.75,315553056.4
North America,Gaming,1993-09-17,699548.66,902,4.9,124264.09,2.0,2.58,72.0,0.1,87.0,59.29,315553056.4
North America,Gaming,1993-09-21,753436.37,4693,2.7,198372.68,1.0,2.12,73.0,0.29,76.0,32.18,315553056.4
North America,Gaming,1993-09-26,2939412.83,8810,3.6,183764.37,6.5,3.5100000000000002,31.0,0.17,76.5,51.67,631106112.8
North America,Gaming,1993-09-28,2002586.6300000001,6595,2.45,302644.53,16.0,1.475,41.0,0.175,56.0,36.705,631106112.8
North America,Gaming,1993-10-01,1404129.41,3390,4.7,111626.33,4.0,3.0,25.0,0.22,81.0,66.19,319662335.65
North America,Gaming,1993-10-03,750612.88,4720,4.3,191496.15,5.0,4.41,82.0,0.28,88.0,43.27,319662335.65
North America,Gaming,1993-10-11,443789.99,2708,4.1,10957.22,12.0,3.1,60.0,0.29,89.0,34.31,319662335.65
North America,Gaming,1993-10-30,771780.46,3208,4.9,86997.0,19.0,4.7,50.0,0.22,81.0,56.96,319662335.65
North America,Gaming,1993-11-05,668857.4,4112,1.4,22330.77,25.0,3.32,27.0,0.16,68.0,45.24,319662335.65
North America,Gaming,1993-11-06,351352.54,3580,4.4,104317.25,3.0,2.1,18.0,0.1,89.0,32.92,319662335.65
North America,Gaming,1993-11-11,349806.53,819,4.7,194226.81,1.0,2.49,53.0,0.13,88.0,67.85,319662335.65
