Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
North America,OEM,1993-04-07,529126.73,4897,1.4,85088.55,6.0,2.11,75.0,0.14,70.0,65.76,275501869.91
North America,OEM,1993-04-10,1939080.51,4758,4.2,36074.25,24.0,1.26,74.0,0.16,69.0,53.37,275501869.91
North America,OEM,1993-04-12,1320089.44,445,3.6,135545.05,19.0,3.35,58.0,0.17,80.0,63.84,275501869.91
North America,OEM,1993-05-14,613223.84,1201,4.5,119972.35,6.0,3.11,18.0,0.11,60.0,56.29,275501869.91
North America,OEM,1993-06-01,1717027.43,5677,1.85,271796.83999999997,0.5,4.800000000000001,69.5,0.185,58.0,41.245,551003739.82
North America,OEM,1993-06-09,1643285.2,2857,2.6,21446.24,0.0,2.05,47.0,0.07,72.0,48.24,275501869.91
North America,OEM,1993-06-12,1758891.41,2838,4.6,150469.85,5.0,2.07,49.0,0.19,55.0,31.27,275501869.91
North America,OEM,1993-06-17,67816.44,1260,3.0,149481.43,24.0,1.18,46.0,0.06,61.0,65.24,275501869.91
North America,OEM,1993-06-22,866435.22,4372,4.8,62087.5,6.0,3.68,83.0,0.16,86.0,50.66,275501869.91
North America,OEM,1993-06-26,469724.65,675,1.2,138580.81,20.0,2.19,27.0,0.11,64.0,52.79,275501869.91
North America,OEM,1993-07-02,1292850.47,2298,2.1,83208.14,25.0,2.27,49.0,0.11,50.0,54.98,315553056.4
North America,OEM,1993-07-06,1969823.17,3247,2.3,85408.48,9.0,4.14,35.0,0.05,71.0,56.24,315553056.4
North America,OEM,1993-07-22,146505.66,4434,4.2,22324.77,6.0,2.14,27.0,0.27,83.0,41.42,315553056.4
North America,OEM,1993-08-05,1494884.94,4441,3.4,134730.7,11.0,0.83,27.0,0.07,72.0,61.77,315553056.4
North America,OEM,1993-08-06,2486431.6900000004,3720,2.6,183787.39,5.0,2.4749999999999996,42.0,0.15500000000000003,71.5,50.47,631106112.8
North America,OEM,1993-08-15,1982108.01,4637,3.5,86599.88,17.0,3.8,52.0,0.1,86.0,45.62,315553056.4
North America,OEM,1993-08-31,1479402.7,2364,3.3,57900.31,25.0,0.19,14.0,0.14,55.0,46.29,315553056.4
North America,OEM,1993-09-02,547365.38,3927,1.4,133435.53,13.0,0.16,33.0,0.17,90.0,53.65,315553056.4
North America,OEM,1993-09-06,308346.61,480,1.1,78844.92,12.0,2.33,77.0,0.24,90.0,64.08,315553056.4
North America,OEM,1993-09-07,1114247.74,4517,4.9,37198.85,6.0,2.53,26.0,0.08,77.0,33.3,315553056.4
North America,OEM,1993-09-10,831834.47,4612,4.5,97619.41,0.0,4.75,11.0,0.08,65.0,45.14,315553056.4
North America,OEM,1993-09-11,949887.07,328,5.0,72297.03,12.0,2.39,84.0,0.12,65.0,34.6,315553056.4
North America,OEM,1993-09-13,1608777.48,461,2.3,147778.65,3.0,2.45,17.0,0.26,82.0,40.05,315553056.4
North America,OEM,1993-09-26,1030618.43,1259,3.3,137045.75,3.0,2.52,41.0,0.06,66.0,59.06,315553056.4
North America,OEM,1993-09-30,948046.03,3446,4.1,16419.96,6.0,2.41,38.0,0.24,64.0,69.58,315553056.4
North America,OEM,1993-10-03,502764.28,2696,2.5,150135.22,20.0,2.26,39.0,0.26,83.0,68.34,319662335.65
North America,OEM,1993-10-16,2421102.13,6349,2.85,348188.85,7.0,2.14,73.0,0.08,66.0,55.209999999999994,639324671.3
North America,OEM,1993-10-30,1913260.83,2035,4.6,180906.07,24.0,4.0,71.0,0.06,54.0,42.04,319662335.65
North America,OEM,1993-11-02,192782.88,224,1.6,57331.51,4.0,1.85,68.0,0.12,90.0,63.18,319662335.65
North America,OEM,1993-11-15,866168.02,102,4.3,61168.43,5.0,0.62,47.0,0.16,57.0,51.22,319662335.65
North America,OEM,1993-11-29,197709.25,3342,2.4,39601.76,1.0,3.28,27.0,0.22,57.0,63.97,319662335.65
North America,OEM,1993-11-30,153814.97,4287,2.4,133254.37,24.0,0.88,29.0,0.23,52.0,49.13,319662335.65
North America,OEM,1993-12-05,1373591.71,1372,3.8,175971.23,19.0,1.19,56.0,0.25,86.0,55.32,319662335.65
North America,OEM,1993-12-12,744493.23,1946,1.1,79530.5,14.0,0.93,47.0,0.05,70.0,31.94,319662335.65
North America,OEM,1993-12-13,1464700.82,3149,3.3,192884.6,21.0,1.84,81.0,0.27,57.0,52.01,319662335.65
North America,OEM,1993-12-14,684282.07,1781,3.2,125899.19,23.0,1.3,15.0,0.22,82.0,55.27,319662335.65
North America,OEM,1993-12-26,794338.0,631,2.4,178839.56,22.0,2.88,72.0,0.07,80.0,40.33,319662335.65
North America,OEM,1993-12-27,80980.04,2596,1.5,62909.17,7.0,0.86,79.0,0.22,74.0,31.34,319662335.65
North America,OEM,1994-01-06,1615427.34,507,2.2,84606.14,1.0,3.57,28.0,0.05,82.0,65.95,300633390.12
North America,OEM,1994-01-21,1350786.23,1228,4.2,110932.96,25.0,3.59,20.0,0.09,68.0,66.9,300633390.12
North America,OEM,1994-02-17,1567719.88,1224,2.9,175773.87,11.0,0.22,78.0,0.22,90.0,35.06,300633390.12
North America,OEM,1994-02-18,1678435.38,3938,3.1,96571.31,0.0,3.61,47.0,0.27,50.0,68.08,300633390.12
North America,OEM,1994-02-26,1411123.04,3257,1.5,29773.44,20.0,3.67,62.0,0.06,55.0,58.34,300633390.12
North America,OEM,1994-02-27,532823.17,1917,2.8,34797.18,7.0,4.34,10.0,0.19,67.0,41.42,300633390.12
North America,OEM,1994-03-17,117592.1,882,2.1,68107.4,7.0,0.59,18.0,0.1,54.0,49.29,300633390.12
North America,OEM,1994-03-20,1869392.01,3444,1.7,121649.16,21.0,0.7,49.0,0.2,66.0,50.02,300633390.12
North America,OEM,1994-03-27,1508995.89,433,2.7,32505.69,3.0,1.22,19.0,0.16,83.0,55.81,300633390.12
North America,OEM,1994-04-04,882597.01,860,3.6,81128.9,21.0,0.94,34.0,0.07,85.0,52.18,342955507.98
North America,OEM,1994-04-05,218064.3,1069,1.1,102184.6,11.0,3.85,47.0,0.17,65.0,44.04,342955507.98
North America,OEM,1994-04-06,1381394.58,363,2.5,180394.34,24.0,4.78,36.0,0.22,72.0,48.64,342955507.98
North America,OEM,1994-04-07,381988.98,3421,3.7,38615.06,19.0,0.24,38.0,0.12,84.0,57.8,342955507.98
North America,OEM,1994-04-10,879166.2,2452,1.8,66693.29,5.0,1.08,36.0,0.26,87.0,41.24,342955507.98
North America,OEM,1994-04-17,1700946.41,406,3.8,65542.5,7.0,0.2,30.0,0.13,88.0,49.52,342955507.98
North America,OEM,1994-04-19,373951.65,2192,1.3,196352.49,15.0,3.74,24.0,0.19,65.0,69.7,342955507.98
North America,OEM,1994-05-01,1215801.74,3929,3.9,96381.43,14.0,4.07,61.0,0.08,79.0,47.1,342955507.98
North America,OEM,1994-05-03,222248.8,3647,1.5,143173.74,3.0,4.44,47.0,0.13,76.0,61.54,342955507.98
North America,OEM,1994-05-21,1567916.35,4182,3.4,76553.39,12.0,3.6,76.0,0.15,56.0,64.44,342955507.98
North America,OEM,1994-06-08,1523016.64,4381,5.0,87922.95,7.0,2.14,37.0,0.15,80.0,38.53,342955507.98
North America,OEM,1994-06-15,934413.74,1186,2.5,187949.18,9.0,4.09,81.0,0.28,58.0,55.74,342955507.98
North America,OEM,1994-06-18,1909038.07,1606,3.8,158202.47,8.0,1.45,67.0,0.22,72.0,50.41,342955507.98
North America,OEM,1994-06-20,1126314.2,3530,1.4,129765.12,25.0,2.06,15.0,0.11,82.0,38.98,342955507.98
North America,OEM,1994-06-23,314049.09,4142,3.3,51403.16,1.0,3.27,50.0,0.14,62.0,56.09,342955507.98
North America,OEM,1994-07-03,1070375.04,2238,4.6,136233.42,8.0,4.56,74.0,0.12,83.0,35.21,368159270.01
North America,OEM,1994-07-09,1769813.38,2137,2.8,10296.1,6.0,2.55,17.0,0.1,67.0,50.2,368159270.01
North America,OEM,1994-07-11,2599082.85,5139,4.15,155821.97,8.5,2.045,21.5,0.19,66.5,41.155,736318540.02
North America,OEM,1994-07-25,815560.23,2188,1.0,31712.45,23.0,4.5,62.0,0.23,89.0,43.97,368159270.01
North America,OEM,1994-07-26,960571.4,3963,3.2,143736.46,23.0,1.45,59.0,0.17,88.0,41.0,368159270.01
North America,OEM,1994-08-12,904771.42,4882,4.2,108863.79,24.0,0.56,68.0,0.29,59.0,48.35,368159270.01
North America,OEM,1994-08-15,1668093.77,695,3.3,52213.4,17.0,0.92,58.0,0.27,89.0,32.13,368159270.01
North America,OEM,1994-08-22,1550088.25,8766,1.9500000000000002,233718.13999999998,16.5,3.76,77.5,0.17,58.5,65.535,736318540.02
North America,OEM,1994-08-23,714002.28,2812,1.8,44152.14,13.0,4.99,60.0,0.17,89.0,50.55,368159270.01
North America,OEM,1994-08-24,872654.0,4090,1.6,66677.22,12.0,0.27,36.0,0.3,83.0,49.85,368159270.01
North America,OEM,1994-08-29,1406860.46,3492,4.7,69274.88,11.0,3.92,22.0,0.21,58.0,44.19,368159270.01
North America,OEM,1994-09-29,640633.99,3873,3.25,87800.52,9.0,2.02,40.0,0.16,53.0,47.355000000000004,736318540.02
North America,OEM,1994-10-01,488227.97,2849,2.9,158332.27,18.0,3.14,59.0,0.28,90.0,31.75,320012458.93
North America,OEM,1994-10-25,1520533.89,1253,2.4,160018.66,17.0,0.53,24.0,0.29,79.0,30.04,320012458.93
North America,OEM,1994-10-29,458939.04,216,2.3,63172.2,11.0,1.92,32.0,0.08,75.0,53.75,320012458.93
North America,OEM,1994-11-03,1795542.92,2280,4.8,121804.72,8.0,2.44,16.0,0.13,74.0,66.51,320012458.93
North America,OEM,1994-11-05,1430332.89,1880,2.4,89029.62,1.0,2.09,38.0,0.06,61.0,64.28,320012458.93
North America,OEM,1994-11-18,1918440.0,1791,3.3,81787.15,23.0,2.06,37.0,0.2,52.0,53.03,320012458.93
North America,OEM,1994-11-19,578144.76,1155,4.1,160930.38,23.0,3.98,52.0,0.24,65.0,46.36,320012458.93
North America,OEM,1994-11-25,480923.12,3955,2.4,128319.61,15.0,4.98,45.0,0.14,57.0,59.53,320012458.93
North America,OEM,1994-11-28,262603.02,4696,2.7,173688.09,3.0,4.45,86.0,0.27,71.0,43.55,320012458.93
North America,OEM,1994-12-05,221700.06,2896,4.8,189367.56,9.0,3.49,66.0,0.1,60.0,48.79,320012458.93
North America,OEM,1994-12-08,902972.46,2439,1.6,121949.11,3.0,2.71,44.0,0.27,79.0,41.73,320012458.93
North America,OEM,1994-12-11,1707009.46,2387,1.7,28777.1,17.0,2.06,16.0,0.09,81.0,68.03,320012458.93
North America,OEM,1994-12-12,1713759.41,6814,4.05,304989.62,14.5,2.7,58.0,0.13,68.5,52.105000000000004,640024917.86
North America,OEM,1994-12-21,1432721.03,1904,2.4,132976.98,14.0,2.92,33.0,0.23,51.0,34.11,320012458.93
North America,OEM,1995-01-25,1501425.96,244,2.8,74706.03,9.0,3.26,22.0,0.12,88.0,63.81,325489049.07
North America,OEM,1995-02-14,1282458.56,4403,4.4,183590.64,4.0,3.5,61.0,0.05,82.0,46.88,325489049.07
North America,OEM,1995-02-17,1754955.49,727,2.4,69050.05,17.0,2.62,13.0,0.22,89.0,52.5,325489049.07
