Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
South America,AI,1993-04-11,1311387.28,3159,4.1,121058.99,6.0,3.84,30.0,0.16,88.0,53.82,275501869.91
South America,AI,1993-04-16,1475674.25,4417,5.0,180235.59,13.0,1.04,77.0,0.19,90.0,54.8,275501869.91
South America,AI,1993-04-18,699923.07,1838,1.6,98473.63,1.0,4.03,41.0,0.21,86.0,58.35,275501869.91
South America,AI,1993-06-01,897569.74,2771,2.3,15341.93,16.0,1.04,33.0,0.28,72.0,30.08,275501869.91
South America,AI,1993-06-04,1435249.41,2581,2.3,153755.46,20.0,0.85,73.0,0.26,78.0,49.72,275501869.91
South America,AI,1993-06-14,1940918.82,559,3.5,143514.11,4.0,3.15,81.0,0.27,52.0,46.65,275501869.91
South America,AI,1993-07-02,1429490.69,3779,1.7,191426.24,3.0,1.0,35.0,0.16,58.0,69.04,315553056.4
South America,AI,1993-07-14,190766.84,4984,3.7,140502.31,12.0,4.95,72.0,0.08,61.0,57.88,315553056.4
South America,AI,1993-07-25,1748198.27,3764,3.2,198669.67,12.0,0.27,86.0,0.27,78.0,49.48,315553056.4
South America,AI,1993-08-04,1851635.54,5144,3.1500000000000004,288849.79000000004,8.5,2.775,43.5,0.145,73.0,42.845,631106112.8
South America,AI,1993-08-07,206476.9,2147,1.7,72106.14,0.0,1.54,30.0,0.17,90.0,59.05,315553056.4
South America,AI,1993-08-08,1558363.25,780,3.1,107699.76,7.0,1.75,10.0,0.06,51.0,55.18,315553056.4
South America,AI,1993-08-13,1776256.27,2114,4.8,53738.58,7.0,1.55,62.0,0.08,87.0,31.13,315553056.4
South America,AI,1993-08-19,1128841.04,2009,2.1,100817.49,1.0,3.34,47.0,0.1,84.0,58.03,315553056.4
South America,AI,1993-08-30,1215245.31,2227,3.1,83243.09,14.0,2.82,86.0,0.28,90.0,59.08,315553056.4
South America,AI,1993-09-02,316170.86,3899,1.1,82379.09,19.0,4.91,12.0,0.09,50.0,36.5,315553056.4
South America,AI,1993-09-11,1105679.88,187,3.9,43294.9,21.0,2.24,82.0,0.08,81.0,49.26,315553056.4
South America,AI,1993-09-16,1136820.92,2545,2.9,164839.01,23.0,3.5,61.0,0.13,55.0,48.48,315553056.4
South America,AI,1993-09-18,2552963.37,6499,2.15,185186.1,13.0,1.62,83.5,0.18,76.0,59.835,631106112.8
South America,AI,1993-09-30,2296411.83,7443,4.75,136281.6,14.5,2.8049999999999997,55.5,0.21500000000000002,75.5,45.935,631106112.8
South America,AI,1993-10-01,312997.61,1256,3.6,132485.7,15.0,2.32,40.0,0.08,79.0,53.12,319662335.65
South America,AI,1993-10-13,1493943.89,2394,2.6,15456.18,5.0,2.87,57.0,0.1,64.0,63.57,319662335.65
South America,AI,1993-11-03,1286511.54,3878,3.9,99350.22,1.0,2.73,19.0,0.25,84.0,67.53,319662335.65
South America,AI,1993-11-04,1896165.58,4554,4.9,123879.55,18.0,1.87,22.0,0.2,52.0,37.68,319662335.65
South America,AI,1993-11-08,1232857.43,3449,1.1,34029.02,17.0,3.47,70.0,0.29,63.0,53.1,319662335.65
South America,AI,1993-11-12,986876.65,303,4.9,56383.67,13.0,1.55,77.0,0.06,82.0,50.49,319662335.65
South America,AI,1993-11-14,986557.66,4503,5.0,136876.8,9.0,2.01,33.0,0.1,69.0,31.41,319662335.65
South America,AI,1993-11-15,902684.1,3189,1.9,86814.25,9.0,0.66,22.0,0.14,89.0,46.89,319662335.65
South America,AI,1993-12-06,616443.79,3175,1.5,146362.22,4.0,3.15,41.0,0.25,58.0,41.91,319662335.65
South America,AI,1993-12-18,395225.18,2515,3.5,94773.32,15.0,2.52,74.0,0.11,55.0,41.04,319662335.65
South America,AI,1993-12-19,1397847.52,6039,2.15,329787.6,22.5,1.9200000000000002,20.0,0.135,62.0,51.245000000000005,639324671.3
South America,AI,1993-12-25,1219925.92,3503,3.5999999999999996,248602.7,11.0,2.655,39.5,0.16,80.0,63.47,639324671.3
South America,AI,1993-12-30,1632787.2,2337,3.6,124285.02,15.0,0.39,86.0,0.28,57.0,67.48,319662335.65
South America,AI,1994-01-02,1142837.12,2465,1.4,47997.82,24.0,1.34,34.0,0.08,89.0,56.26,300633390.12
South America,AI,1994-01-30,568285.36,484,2.6,80472.39,23.0,1.51,84.0,0.2,50.0,63.62,300633390.12
South America,AI,1994-02-06,1487677.71,3351,2.4,79069.66,14.0,0.4,38.0,0.29,68.0,42.36,300633390.12
South America,AI,1994-02-09,240606.67,3141,4.5,78062.35,22.0,0.31,62.0,0.28,87.0,65.77,300633390.12
South America,AI,1994-02-14,1340055.98,3053,4.0,174967.09,1.0,1.27,30.0,0.23,80.0,56.76,300633390.12
South America,AI,1994-02-22,1898580.18,287,2.1,82810.47,8.0,4.26,70.0,0.12,64.0,66.85,300633390.12
South America,AI,1994-02-27,998690.23,2102,1.5,84136.64,11.0,2.4,33.0,0.05,85.0,40.74,300633390.12
South America,AI,1994-03-01,1002685.96,567,1.4,115942.87,12.0,1.55,80.0,0.21,60.0,39.5,300633390.12
South America,AI,1994-03-02,55380.32,4482,4.6,133170.54,19.0,4.2,13.0,0.18,55.0,63.84,300633390.12
South America,AI,1994-03-05,123688.01,1539,3.7,96789.79,23.0,2.81,42.0,0.21,85.0,63.86,300633390.12
South America,AI,1994-04-02,616382.91,1788,1.7,96045.47,23.0,3.64,30.0,0.26,65.0,49.78,342955507.98
South America,AI,1994-04-19,1260628.08,6271,2.95,300319.46,14.0,1.28,37.5,0.21,77.0,48.68,685911015.96
South America,AI,1994-05-06,1275413.09,1626,4.2,92482.04,9.0,3.99,81.0,0.19,71.0,51.42,342955507.98
South America,AI,1994-05-10,1521091.96,2337,4.6,157436.3,9.0,1.7,43.0,0.12,90.0,31.3,342955507.98
South America,AI,1994-05-11,833336.65,2014,3.2,95096.04,8.0,4.23,64.0,0.18,55.0,68.87,342955507.98
South America,AI,1994-05-16,232488.9,755,1.7,40917.02,16.0,1.61,69.0,0.1,78.0,38.39,342955507.98
South America,AI,1994-05-24,1226979.35,522,3.5,138328.55,18.0,3.64,52.0,0.24,53.0,45.92,342955507.98
South America,AI,1994-06-09,1842433.03,1011,3.6,90033.38,25.0,0.12,11.0,0.06,83.0,68.3,342955507.98
South America,AI,1994-06-13,1545213.71,1022,4.0,142813.18,10.0,2.99,53.0,0.14,75.0,66.09,342955507.98
South America,AI,1994-06-15,1610287.75,4374,3.7,28779.58,7.0,2.02,74.0,0.11,55.0,50.47,342955507.98
South America,AI,1994-06-16,1979154.29,1429,1.6,154418.97,6.0,3.28,54.0,0.27,55.0,54.37,342955507.98
South America,AI,1994-06-27,2520151.38,5242,1.1,276988.44,11.0,1.635,39.0,0.14,82.5,53.92,685911015.96
South America,AI,1994-07-05,3014563.67,2074,2.8499999999999996,262204.09,8.5,4.4350000000000005,49.5,0.11000000000000001,80.5,40.695,736318540.02
South America,AI,1994-07-11,1091131.06,952,4.6,134619.54,0.0,1.58,83.0,0.2,63.0,58.84,368159270.01
South America,AI,1994-08-17,628497.9,4183,4.6,115888.12,2.0,1.38,46.0,0.11,88.0,51.37,368159270.01
South America,AI,1994-08-25,1535881.04,2772,1.7,86663.95,21.0,4.46,46.0,0.12,56.0,57.71,368159270.01
South America,AI,1994-08-28,117863.64,587,1.1,77341.25,1.0,4.47,65.0,0.12,88.0,32.03,368159270.01
South America,AI,1994-08-31,1582506.78,1864,1.2,70060.83,12.0,2.55,11.0,0.29,81.0,34.33,368159270.01
South America,AI,1994-09-12,637994.39,1879,3.9,189147.84,8.0,1.5,65.0,0.05,88.0,51.63,368159270.01
South America,AI,1994-09-26,1147715.55,4891,2.8,18818.44,18.0,4.87,30.0,0.1,66.0,50.91,368159270.01
South America,AI,1994-09-29,1827623.98,4044,1.4,136694.87,6.0,1.72,76.0,0.29,89.0,38.51,368159270.01
South America,AI,1994-10-04,1784904.12,1835,3.8,29436.51,6.0,1.94,73.0,0.23,73.0,40.92,320012458.93
South America,AI,1994-10-21,1374306.3,4204,3.2,102633.39,23.0,2.7,30.0,0.12,70.0,37.15,320012458.93
South America,AI,1994-10-27,619022.96,1818,3.9,43666.23,0.0,1.19,75.0,0.17,60.0,63.53,320012458.93
South America,AI,1994-11-03,353105.76,3370,3.9,25742.34,6.0,2.38,47.0,0.06,59.0,39.81,320012458.93
South America,AI,1994-11-05,1889874.65,4815,2.2,74153.28,21.0,2.93,84.0,0.06,75.0,63.05,320012458.93
South America,AI,1994-11-12,1167081.78,3971,3.35,81674.51000000001,12.5,2.895,53.5,0.185,64.5,62.22,640024917.86
South America,AI,1994-11-16,1805855.38,4006,3.8,68768.53,19.0,1.7,79.0,0.17,64.0,69.51,320012458.93
South America,AI,1994-11-30,827983.21,3274,2.8,195805.66,22.0,1.07,61.0,0.16,59.0,35.66,320012458.93
South America,AI,1994-12-20,1358252.97,3461,4.4,75579.93,2.0,2.03,72.0,0.07,59.0,33.49,320012458.93
South America,AI,1994-12-25,1280148.63,163,3.7,196491.13,2.0,3.92,48.0,0.09,81.0,57.13,320012458.93
South America,AI,1994-12-26,1887393.23,3829,2.7,181036.19,23.0,1.46,29.0,0.29,63.0,54.14,320012458.93
South America,AI,1995-01-01,1324822.0,1927,4.5,90633.05,3.0,4.24,47.0,0.28,56.0,40.93,325489049.07
South America,AI,1995-01-09,1212371.91,3843,4.0,106040.95,7.0,2.93,38.0,0.22,86.0,53.18,325489049.07
South America,AI,1995-01-11,1615162.21,3372,3.0,192769.83,25.0,3.02,62.0,0.07,56.0,69.64,325489049.07
South America,AI,1995-01-19,182719.11,1225,1.2,81587.89,21.0,1.25,59.0,0.06,62.0,45.05,325489049.07
South America,AI,1995-01-22,3556672.39,3798,2.5,314973.20999999996,10.0,2.225,46.5,0.195,68.5,55.555,650978098.14
South America,AI,1995-01-25,149030.71,1392,4.8,198054.01,19.0,1.98,84.0,0.21,69.0,67.78,325489049.07
South America,AI,1995-01-29,3275136.8,4756,4.65,243498.3,19.0,3.565,60.0,0.20500000000000002,85.0,51.425,650978098.14
South America,AI,1995-01-30,1567848.68,4262,3.0,139819.93,11.0,2.05,79.0,0.15,75.0,47.21,325489049.07
South America,AI,1995-01-31,198490.24,2763,1.9,38622.55,4.0,3.9,34.0,0.12,53.0,60.76,325489049.07
South America,AI,1995-02-01,1620366.79,4189,1.8,163463.51,17.0,4.07,18.0,0.19,73.0,40.71,325489049.07
South America,AI,1995-02-18,563633.9,969,2.9,24349.2,21.0,4.78,66.0,0.12,50.0,50.31,325489049.07
South America,AI,1995-02-23,1939231.26,4510,3.6,77433.62,2.0,2.77,71.0,0.21,80.0,60.46,325489049.07
South America,AI,1995-02-27,494168.69,2621,3.7,20323.93,23.0,3.57,69.0,0.1,50.0,45.89,325489049.07
South America,AI,1995-03-02,88980.76,2147,1.4,66606.77,15.0,1.92,86.0,0.23,84.0,61.38,325489049.07
South America,AI,1995-03-06,817418.31,2020,2.0,103347.94,1.0,2.06,16.0,0.17,74.0,61.72,325489049.07
South America,AI,1995-03-09,462183.14,2903,2.8,65902.46,10.0,1.84,58.0,0.15,71.0,37.88,325489049.07
South America,AI,1995-03-25,883539.59,3698,4.0,29092.74,9.0,3.95,52.0,0.3,52.0,61.41,325489049.07
South America,AI,1995-03-31,621950.51,3392,3.4,196511.07,8.0,2.03,83.0,0.1,50.0,55.51,325489049.07
South America,AI,1995-04-01,754377.69,2039,1.4,94987.03,20.0,4.14,44.0,0.05,78.0,54.57,315874893.32
South America,AI,1995-04-11,1952601.25,810,1.9,98437.15,25.0,3.72,11.0,0.27,55.0,56.02,315874893.32
South America,AI,1995-04-13,209082.91,1095,4.3,98406.37,13.0,0.31,24.0,0.07,73.0,38.68,315874893.32
South America,AI,1995-04-14,240102.46,2048,4.3,100708.42,1.0,3.25,12.0,0.06,58.0,41.46,315874893.32
South America,AI,1995-04-25,689510.34,3599,4.6,53191.35,2.0,0.86,45.0,0.1,88.0,37.35,315874893.32
South America,AI,1995-04-27,684645.79,653,1.8,196576.56,4.0,2.37,81.0,0.26,80.0,64.31,315874893.32
South America,AI,1995-05-05,1021268.11,3295,1.4,151006.66,1.0,3.42,65.0,0.24,69.0,37.59,315874893.32
South America,AI,1995-05-10,553686.31,4674,2.2,124917.3,14.0,3.24,51.0,0.06,74.0,69.12,315874893.32
South America,AI,1995-05-11,1591639.83,4822,4.4,42312.85,0.0,3.18,43.0,0.12,55.0,30.69,315874893.32
South America,AI,1995-05-14,56515.52,4122,3.5,94971.47,3.0,3.15,42.0,0.28,53.0,67.25,315874893.32
South America,AI,1995-05-15,1832913.2,153,4.5,122520.96,10.0,0.84,10.0,0.3,67.0,63.27,315874893.32
South America,AI,1995-05-31,895001.04,3039,1.6,196754.6,23.0,4.16,49.0,0.17,67.0,44.28,315874893.32
South America,AI,1995-06-05,1746395.48,1045,1.3,130663.99,17.0,0.3,33.0,0.18,64.0,63.73,315874893.32
South America,AI,1995-06-14,147891.9,4590,4.3,191021.67,17.0,4.93,24.0,0.14,81.0,65.42,315874893.32
South America,AI,1995-06-18,1350267.26,4175,2.6,140063.58,13.0,3.5,39.0,0.1,71.0,63.8,315874893.32
South America,AI,1995-07-11,1853930.76,2305,1.3,40146.68,22.0,3.68,78.0,0.24,51.0,49.46,323268964.24
South America,AI,1995-08-05,695690.21,2062,4.7,120781.51,12.0,3.87,61.0,0.18,79.0,57.82,323268964.24
South America,AI,1995-08-10,132531.0,3998,3.2,96338.31,9.0,2.66,22.0,0.24,86.0,38.43,323268964.24
South America,AI,1995-08-25,904815.69,4755,3.4000000000000004,277487.42000000004,15.5,1.85,75.0,0.2,70.5,66.09,646537928.48
South America,AI,1995-08-30,202860.14,4257,4.6,139012.84,11.0,0.94,49.0,0.17,69.0,34.73,323268964.24
South America,AI,1995-08-31,1549872.66,4135,4.1,144841.16,1.0,3.26,26.0,0.28,71.0,43.64,323268964.24
South America,AI,1995-09-08,860007.3,2818,1.1,60375.05,12.0,3.76,61.0,0.08,76.0,58.47,323268964.24
South America,AI,1995-09-09,1989970.53,726,1.5,133624.18,19.0,1.48,31.0,0.24,79.0,48.26,323268964.24
