Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
South America,Data Center,1993-04-06,806385.5,4220,4.0,43879.19,2.0,3.67,82.0,0.1,59.0,58.18,275501869.91
South America,Data Center,1993-05-04,1169364.09,3337,2.7,74709.65,20.0,2.29,74.0,0.1,63.0,38.23,275501869.91
South America,Data Center,1993-05-11,1257055.47,4035,4.3,63612.55,16.0,4.78,38.0,0.18,57.0,37.11,275501869.91
South America,Data Center,1993-05-15,1038036.86,3128,1.9,141060.83,7.0,2.85,16.0,0.27,54.0,67.2,275501869.91
South America,Data Center,1993-05-16,1637219.65,2636,3.2,189586.49,24.0,4.06,60.0,0.29,87.0,42.54,275501869.91
South America,Data Center,1993-05-24,856382.44,1900,4.6,25786.79,0.0,4.52,86.0,0.09,56.0,53.53,275501869.91
South America,Data Center,1993-06-13,616356.65,3683,4.0,67035.52,17.0,0.93,74.0,0.21,62.0,59.57,275501869.91
South America,Data Center,1993-06-15,1828770.78,1101,2.5,27745.69,6.0,2.49,53.0,0.21,90.0,57.7,275501869.91
South America,Data Center,1993-07-10,508306.55,3258,4.7,112335.79,24.0,3.79,86.0,0.29,90.0,56.17,315553056.4
South America,Data Center,1993-07-18,379455.6,2771,4.9,190024.42,10.0,1.99,49.0,0.08,81.0,60.14,315553056.4
South America,Data Center,1993-08-02,2505806.26,8142,4.1,258127.58,12.5,3.62,79.5,0.145,67.0,64.865,631106112.8
South America,Data Center,1993-08-08,1334742.62,2687,3.1,119398.44,17.0,1.76,30.0,0.12,77.0,58.53,315553056.4
South America,Data Center,1993-08-15,1395390.72,173,4.8,13188.22,9.0,3.36,86.0,0.26,59.0,38.2,315553056.4
South America,Data Center,1993-08-16,577714.89,2904,1.4,124859.56,15.0,3.91,58.0,0.18,86.0,39.23,315553056.4
South America,Data Center,1993-08-27,347543.88,3591,3.8,148448.91,12.0,1.35,21.0,0.27,73.0,63.26,315553056.4
South America,Data Center,1993-09-02,1551185.38,2674,2.1,33157.19,11.0,0.35,42.0,0.23,65.0,31.75,315553056.4
South America,Data Center,1993-09-05,1480467.36,244,1.3,163030.04,14.0,4.69,24.0,0.18,73.0,55.16,315553056.4
South America,Data Center,1993-09-06,1764043.81,1898,3.1,114619.24,23.0,2.24,55.0,0.11,66.0,49.1,315553056.4
