Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
South America,Gaming,1993-04-09,1791690.33,2798,1.6,25789.81,18.0,4.85,19.0,0.11,70.0,36.02,275501869.91
South America,Gaming,1993-04-10,1403997.3,3281,3.4,85649.11,0.0,1.96,59.0,0.06,88.0,61.46,275501869.91
South America,Gaming,1993-04-20,218115.63,3613,2.3,161944.18,19.0,4.73,28.0,0.11,81.0,33.48,275501869.91
South America,Gaming,1993-04-28,1931352.86,1336,3.1,131392.47,12.5,3.56,28.5,0.19,73.0,49.459999999999994,551003739.82
South America,Gaming,1993-05-23,865936.47,1205,3.4,111781.99,12.0,1.16,26.0,0.27,73.0,34.75,275501869.91
South America,Gaming,1993-05-27,1717955.77,1167,3.1,124151.42,25.0,3.74,22.0,0.08,79.0,50.31,275501869.91
South America,Gaming,1993-05-31,179250.99,4545,2.4,181035.36,25.0,2.56,47.0,0.25,58.0,55.25,275501869.91
South America,Gaming,1993-06-02,263640.8,4963,3.8,78445.72,18.0,1.86,11.0,0.28,78.0,59.91,275501869.91
South America,Gaming,1993-06-12,332070.16,3703,1.9,81700.57,16.0,0.29,87.0,0.07,52.0,47.35,275501869.91
South America,Gaming,1993-06-28,1460570.36,812,1.2,173188.88,0.0,3.73,11.0,0.23,81.0,55.23,275501869.91
South America,Gaming,1993-07-01,1569990.38,2117,4.1,178705.25,13.0,0.76,10.0,0.2,88.0,46.23,315553056.4
South America,Gaming,1993-07-14,1409805.15,2386,1.0,57009.15,20.0,4.25,56.0,0.14,62.0,33.37,315553056.4
South America,Gaming,1993-07-17,928803.62,3992,2.8,159443.13,23.0,0.26,53.0,0.23,78.0,63.18,315553056.4
South America,Gaming,1993-08-12,597220.7,3858,4.8,13887.69,15.0,4.71,12.0,0.27,56.0,68.44,315553056.4
South America,Gaming,1993-08-14,1713909.34,2427,4.3,30788.77,16.0,1.06,23.0,0.11,61.0,53.45,315553056.4
South America,Gaming,1993-08-23,619511.47,4331,3.9,134725.96,8.0,2.6,19.0,0.07,63.0,62.46,315553056.4
South America,Gaming,1993-08-24,352242.11,139,1.3,22953.69,21.0,3.59,87.0,0.16,54.0,46.94,315553056.4
South America,Gaming,1993-08-27,383627.02,1148,3.3,187850.83,9.0,4.39,36.0,0.19,61.0,30.01,315553056.4
South America,Gaming,1993-08-31,1146690.89,2179,2.4,149214.1,24.0,0.14,55.0,0.23,90.0,31.08,315553056.4
South America,Gaming,1993-09-10,1823369.8900000001,5822,1.9000000000000001,192215.38,7.5,1.6400000000000001,33.5,0.19,74.0,43.78,631106112.8
South America,Gaming,1993-09-17,525560.32,3328,1.0,184170.03,6.0,2.16,84.0,0.14,72.0,46.79,315553056.4
South America,Gaming,1993-10-01,1450695.2,4112,1.6,163572.47,2.0,3.46,63.0,0.12,85.0,66.19,319662335.65
South America,Gaming,1993-10-12,519195.41,2019,4.9,11020.45,15.0,1.03,87.0,0.08,57.0,32.22,319662335.65
South America,Gaming,1993-10-19,533686.85,4969,2.0,176020.67,8.0,3.5,90.0,0.13,74.0,66.49,319662335.65
South America,Gaming,1993-10-26,1335332.74,797,4.5,166266.18,0.0,3.24,35.0,0.3,77.0,50.06,319662335.65
South America,Gaming,1993-10-28,1735582.08,915,4.3,196633.43,4.0,4.52,14.0,0.17,54.0,55.6,319662335.65
South America,Gaming,1993-11-18,576667.09,2586,2.3,46568.22,9.0,3.51,66.0,0.23,62.0,41.01,319662335.65
South America,Gaming,1993-12-08,1546548.27,2261,4.9,148474.57,17.0,3.77,58.0,0.12,59.0,58.03,319662335.65
South America,Gaming,1993-12-22,905757.65,4296,3.3,117163.74,25.0,3.23,84.0,0.26,50.0,66.65,319662335.65
South America,Gaming,1994-01-03,1157877.64,2071,4.7,189233.41,19.0,1.46,63.0,0.14,55.0,37.54,300633390.12
South America,Gaming,1994-01-05,1701911.71,1629,3.0,78696.8,16.0,4.49,31.0,0.29,89.0,59.68,300633390.12
South America,Gaming,1994-01-08,1998807.56,3895,2.2,76547.29,17.0,2.34,44.0,0.28,51.0,30.74,300633390.12
South America,Gaming,1994-01-09,920720.05,2397,4.0,34842.81,12.0,1.49,22.0,0.14,67.0,51.14,300633390.12
South America,Gaming,1994-02-11,600546.09,4383,1.9,58610.93,21.0,0.97,55.0,0.08,72.0,51.64,300633390.12
