Region,Product Category,Date,Sales Revenue (USD),Units Sold,Customer Satisfaction,Marketing Spend (USD),Discount Percentage (%),Return Rate (%),AI/ML Adoption Rate (%),Ad Campaign Effectiveness,Customer Retention Rate (%),Market Share (%),Total_Revenue
South America,OEM,1993-04-14,1323026.55,1465,3.0,89207.99,10.0,2.29,36.0,0.28,79.0,33.73,275501869.91
South America,OEM,1993-04-20,1839545.04,1479,4.7,28603.62,14.0,3.61,55.0,0.17,61.0,56.19,275501869.91
South America,OEM,1993-05-14,1084469.37,3542,4.6,115187.04,10.0,2.64,55.0,0.14,77.0,65.57,275501869.91
South America,OEM,1993-05-27,1019657.54,476,4.4,64889.94,16.0,0.15,19.0,0.17,90.0,44.69,275501869.91
South America,OEM,1993-06-03,746005.37,1061,2.0,77237.93,2.0,3.1,22.0,0.21,79.0,31.99,275501869.91
South America,OEM,1993-06-10,1965859.1,3967,1.6,61552.71,12.0,0.39,29.0,0.18,52.0,47.23,275501869.91
South America,OEM,1993-07-01,1841956.12,2446,4.9,134646.78,14.0,2.35,87.0,0.06,57.0,41.3,315553056.4
South America,OEM,1993-07-04,508705.75,4502,5.0,101147.99,17.0,0.31,61.0,0.29,63.0,34.08,315553056.4
South America,OEM,1993-07-14,1826128.85,2273,2.7,37257.27,16.0,1.06,42.0,0.25,50.0,43.38,315553056.4
South America,OEM,1993-07-15,225479.64,4814,4.4,178298.22,12.0,0.2,28.0,0.19,73.0,49.25,315553056.4
South America,OEM,1993-07-18,1543460.17,3152,4.0,178411.76,7.0,4.65,66.0,0.28,83.0,32.52,315553056.4
South America,OEM,1993-07-21,151746.55,1165,2.6,147142.58,16.0,1.27,73.0,0.13,72.0,54.48,315553056.4
South America,OEM,1993-08-09,1754413.79,1682,4.9,68052.06,7.0,4.31,21.0,0.28,83.0,41.38,315553056.4
South America,OEM,1993-08-21,1183355.58,1303,2.9,167206.9,16.0,3.46,56.0,0.26,55.0,36.2,315553056.4
South America,OEM,1993-09-09,2387102.4,4373,2.7,240300.72999999998,7.0,1.115,40.0,0.11,68.5,64.41499999999999,631106112.8
South America,OEM,1993-09-14,564597.51,2502,4.8,104453.37,2.0,0.27,60.0,0.05,85.0,37.52,315553056.4
South America,OEM,1993-09-21,690504.2,3565,4.8,16158.44,4.0,4.1,40.0,0.12,84.0,49.02,315553056.4
South America,OEM,1993-10-03,1082618.89,1758,3.7,128493.79,8.0,0.58,33.0,0.14,81.0,59.51,319662335.65
South America,OEM,1993-10-14,1379679.45,3701,3.1,163960.76,2.0,3.17,62.0,0.23,54.0,60.26,319662335.65
South America,OEM,1993-10-16,1976897.7,3915,2.6,112941.33,16.0,0.92,77.0,0.23,72.0,39.38,319662335.65
South America,OEM,1993-10-17,1950504.62,4133,1.7,198461.3,1.0,4.76,85.0,0.23,51.0,50.61,319662335.65
South America,OEM,1993-10-21,671098.3,4830,2.9,152744.31,16.0,0.55,44.0,0.13,83.0,51.94,319662335.65
South America,OEM,1993-11-05,451058.42,2596,2.9,138542.11,13.0,3.9,28.0,0.23,52.0,61.07,319662335.65
South America,OEM,1993-11-28,1203195.76,3305,1.8,88994.82,0.0,2.13,35.0,0.12,54.0,30.87,319662335.65
South America,OEM,1993-11-29,1270624.78,4225,2.0,51849.8,22.0,4.15,74.0,0.23,81.0,66.71,319662335.65
South America,OEM,1993-12-05,668922.03,969,1.6,12982.78,6.0,0.98,24.0,0.09,68.0,37.02,319662335.65
South America,OEM,1993-12-15,2256165.67,3417,3.15,158343.55,15.0,2.98,34.5,0.245,65.0,36.47,639324671.3
South America,OEM,1994-01-20,510329.93,685,2.0,27958.1,20.0,0.56,23.0,0.22,83.0,63.71,300633390.12
South America,OEM,1994-01-31,519201.63,434,2.7,161705.27,15.0,0.69,22.0,0.27,51.0,36.18,300633390.12
South America,OEM,1994-02-09,1021658.5,1252,2.3,196201.25,25.0,1.2,63.0,0.19,64.0,59.95,300633390.12
South America,OEM,1994-02-28,1609650.35,4042,1.8,10302.72,8.0,1.35,55.0,0.17,87.0,37.16,300633390.12
South America,OEM,1994-03-04,250608.99,690,2.0,180733.83,25.0,4.76,44.0,0.18,78.0,66.52,300633390.12
South America,OEM,1994-03-17,2824660.76,6852,3.85,124678.80000000002,17.5,3.17,58.0,0.215,73.0,34.905,601266780.24
South America,OEM,1994-04-03,1622420.37,278,2.8,134382.19,9.0,4.96,61.0,0.11,78.0,60.55,342955507.98
South America,OEM,1994-04-21,1321703.05,2201,3.4,82300.06,4.0,1.29,21.0,0.15,86.0,45.31,342955507.98
South America,OEM,1994-04-24,188704.35,3142,3.7,199158.67,12.0,0.76,30.0,0.22,50.0,66.63,342955507.98
South America,OEM,1994-04-28,1911855.67,1488,3.0,60195.1,7.0,4.88,67.0,0.12,58.0,64.77,342955507.98
South America,OEM,1994-04-29,373262.17,4651,1.7,43881.32,12.0,2.64,60.0,0.14,56.0,35.8,342955507.98
South America,OEM,1994-05-07,215696.23,631,4.9,20523.78,24.0,2.76,67.0,0.09,85.0,49.65,342955507.98
South America,OEM,1994-05-28,1530718.26,4537,1.7,58067.97,7.0,3.67,85.0,0.26,61.0,62.84,342955507.98
South America,OEM,1994-05-31,338985.0,4601,1.9,33779.15,9.0,1.01,66.0,0.06,52.0,62.5,342955507.98
South America,OEM,1994-06-04,1917601.68,2637,1.1,186927.58,14.0,1.88,21.0,0.09,88.0,61.39,342955507.98
South America,OEM,1994-06-23,1176668.22,4661,1.6,80838.58,7.0,2.79,42.0,0.24,86.0,67.32,342955507.98
South America,OEM,1994-06-24,1456004.21,2875,5.0,134530.35,23.0,2.19,60.0,0.16,75.0,46.68,342955507.98
South America,OEM,1994-07-17,228587.95,2812,3.0,37851.22,8.0,3.39,30.0,0.23,56.0,48.26,368159270.01
South America,OEM,1994-07-18,565975.78,3749,4.1,163085.28,11.0,2.63,81.0,0.11,86.0,34.18,368159270.01
South America,OEM,1994-08-02,782239.44,904,4.5,179288.08,14.0,1.65,83.0,0.06,76.0,55.99,368159270.01
